1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
 , 1164, 4184, 11647, 10611, 12505, 6429, 9572, 14291, 12123, 5666, 749, 6122, 1514, 6718, 5424, 778, 7992, 5367, 12405, 5854, 6444, 11429, 11545, 11280, 14966, 14658, 953, 8646, 5355, 15578, 10692, 11229, 10278, 12497, 8827, 10743, 4481, 11467, 9615, 12997, 14646, 2698, 883, 11003, 10308, 5636, 66, 611, 8351, 10589, 105, 13481, 12315, 3002, 1151, 8933, 6870, 13610, 3059, 4262, 6181, 11679, 2648, 371, 3120, 12898, 9706, 2902, 4282, 4514, 7930, 663, 5148, 11434, 8649, 1890, 504, 145, 910, 6384, 13630, 1908, 9866, 2129, 2715, 4914, 11661, 631, 4590, 8028, 12447, 1413, 344, 738, 2617, 548, 10963, 10703, 7861, 3486, 5633, 14130, 10943, 8681, 2197, 386, 1644, 135, 7687, 7199
, 1165, 4185, 11648, 10633, 12506, 6449, 9573, , 12146, 5667, 750, 6123, 2062, 6719, 5425, 802, 8014, 5389, 12406, 5855, 6445, , 11546, 11304, 14988, 14659, 954, 8647, 5356, 15579, 11267, 11249, 10279, 12498, 8848, 10744, 4502, 11468, 9616, 12998, 14647, 2699, 884, 11004, 10309, 5660, 67, 612, 8352, 10590, 106, 13482, 12316, 3003, 1174, 8955, 6871, 13611, 3060, 4263, 6182, 11680, 2649, 372, 3121, 12921, 10255, 2903, 4832, 4515, 7931, 664, 5149, 11435, 8650, 1891, 505, 146, 911, 6385, 13654, 1909, 9867, 2130, 2716, 4915, 11662, 651, 4613, 8029, 12448, 13887, 367, 739, 2618, 1094, 11512, 11252, 7862, 3487, 5654, 14131, 10964, 8682, 2198, 387, 1645, 136, 7688, 7200
, 1166, 4186, 11670, 10634, 12507, 6450, 9574,, 12147, 5688, 751, 6671, 2063, 6742, 5951, 803, 8015, 5390, 12429, 5876, 6446,, 11569, 11305, 14989, 14660, 1526, 9194, 5357, 15580, 11290, 11250, 10777, 12499, 8849, 10745, 4503, 11490, 9617, 13022, 14648, 2700, 905, 11026, 10310, 5661, 68, 613, 8353, 10591, 128, 13504, 12317, 3004, 1175, 8956, 6872, 13612, 3061, 4286, 6183, 11681, 2650, 373, 3146, 12922, 10256, 2904, 4857, 4516, 7932, 665, 5171, 11459, 8651, 1911, 506, 147, 912, 6407, 13655, 1910, 9889, 2153, 2717, 4916, 11663, 652, 4614, 8051, 12449, 13888, 368, 1286, 2619, 1095, 11513, 11276, 7882, 3488, 5655, 14132, 10965, 9281, 2696, 388, 1667, 154, 8136, 7201
, 1167, 4187, 11671, 10635, 12529, 6451, 9575,, 12148, 5689, 752, 6672, 2064, 6743, 5974, 804, 8016, 5391, 12430, 5877, 6447,, 11570, 11879, 14990, 14661, 1527, 9218, 5380, 15581, 11291, 11251, 10801, 12518, 8850, 10768, 4504, 11491, 9618, 13023, 14669, 2701, 906, 11027, 10331, 5662, 69, 1161, 8376, 10612, 129, 13505, 12318, 3024, 1726, 8957, 6873, 13613, 3062, 4287, 6184, 11682, 2651, 374, 3147, 12923, 10280, 2905, 4882, 4541, 7952, 689, 5172, 11460, 8674, 1912, 507, 148, 913, 6408, 14176, 1932, 9890, 2154, 2718, 4938, 11685, 653, 5163, 8052, 12471, 13889, 890, 1311, 2620, 1096, 11514, 11277, 7883, 3509, 5656, 14154, 10966, 9306, 2719, 389, 1668, 155, 8137, 7221
, 1188, 4188, 11672, 10636, 12530, 6452, 9596,, 12172, 5690, 774, 6696, 2086, 6744, 5975, 826, 8591, 5890, 12431, 5878, 6448,, 11571, 11904, 15538, 14662, 1528, 9219, 5381, 15603, 11292, 11253, 10802, 12519, 8851, 10769, 4505, 11492, 9639, , 14670, 2722, 907, 11028, 10332, 5685, 70, 1162, 8377, 10613, 655, 14030, 12319, 3025, 1749, 8958, 6893, 13635, 3083, 4288, 6207, 11683, 2672, 375, 3619, 12924, 10281, 2906, , 5088, 7953, 690, 5173, 11461, 8675, 1913, 508, 165, 914, 6409, 14177, 1933, 9891, 2155, 2739, 4939, 11686, 654, 5187, 8053, 12472, 13912, 891, 1312, 2621, 1097, 11515, 11278, 7884, 3510, 5657, 14155, 10967, 9307, 2720, 390, 1669, 156, 8138, 7222
, 1189, 4189, 11673, 10637, 12531, 6453, 9597,, 12173, 5691, 775, 6697, 2087, 7318, 5976, 827, 8615, 5891, 12432, 5879, 6945,, 11594, 11929, 15539, 14663, 1529, 9220, 5382, 15604, 11316, 11751, 10825, 12520, 8852, 10770, 4506, 12016, 9640,, 14671, 2723, 908, 11029, 10333, 5686, 71, 1184, 8378, 10614, 656, 14031, 12339, 3026, 1774, 8981, 6894, 13636, 3084, 4312, 6208, 11684, 2673, 376, 3620, 12946, 10305, 2927,, 5089, 7954, 714, 5174, 11485, 8699, 1914, 509, 166, 935, 6410, 14178, 2507, 9892, 2179, 2740, 4940, 11687, 675, 5188, 8054, 12473, 13913, 915, 1336, 2643, 1098, 11537, 11302, 7885, 3511, 5658, 14156, 10968, , 2721, 391, 1670, 157, 8160, 7223
, 1190, 4209, 12246, 10638, 12532, 6475, 9598,, 12174, 5692, 776, 6698, 2088, 7319, 5977, 828, 8616, 5892, 12455, 5880, 6946,, 11595, , 15540, 14686, 1550, 9221, 5406, 15605, 11941, 11776, 10826, 12521, 8874, 11268, 4527, 12017, 9641,, 14672, 2724, 909, 11051, 10334, 5687, 72, 1185, 8400, 10615, 680, 14053, 12340, 3027, 1775, 8982, 6895, 13637, 3085, 4313, 6209, 11705, 2674, 377, 3643, 12947, 10306, 2928,, 5090, 7955, , 5748, 12060, 8700, 1915, 529, 167, 936, 6933, 14179, 2508, 9914, 2204, 2741, 4941, 11688, 676, 5189, 8055, 13020, 13914, 916, 1337, 2644, 1119, 11538, 11303, 7886, 3512, 5659, 14157, 10989,, 2744, 392, 1671, 158, 8161, 7224
, 1191, 4210, 12247, 10658, 12555, 6476, 9599,, 12197, 5693, 777, 6721, 2089, 7342, 5997, 829, 8640, 5893, 12456, 5901, 6947,, 11596,, 15563, 14687, 1551, 9242, 5407, , , 11777, 10827, 12522, 8875, 11269, 4528, 12040, 9642,, 14673, 2725, 930, 11052, 10858, 5710, 73, 1186, 8401, 10616, 704, 14054, 12341, 3028, 1800, 8983, 6896, 13638, 3086, 4886, 6232, 11706, 2675, 378, 3644, 13522, 10330, 2929,, 5112, 7956,, 5772, 12085, 9199, 1916, 530, 168, 937, 6934, 14180, 2509, 9915, 2653, 2742, 4965, 11711, 677, 5190, 8076, 13021, 13936, 917, 1338, 2645, 1120, 11539, 11328, 7887, 3513, 5679, 14657, 10990,, 2745, 393, 1692, 159, 8162, 7225
, 1192, 4211, 12248, 10659, 12556, 6976, 9600,, 12198, 5715, 799, 6722, 2110, 7343, 5998, 850, 8641, 5914, 12457, 5902, 6948,, 11619,, 15564, 15260, 1552, 9243, 5431,,, 11778, 10828, 12523, 8876, 11293, 4529, 12041, 9643,, 14694, 2726, 931, 11053, 10859, 5711, 74, 1187, 8402, 10639, 728, 14055, 12342, 3029, 2374, 9432, 6897, 13662, 3087, 4887, 6233, 11707, 3223, 394, 3645, 13547, , 3477,, 5113, 7957,, 5773, , 9200, 1937, 531, 169, 938, 6935, 14202, 2532, 9916, 2654, 2743, 4966, 11712, 678, 5191, 8077, 13045, 13937, 918, 1362, 2646, 1121, 11540, 11902, 7908, 3959, 5680, 14682, 10991,, 2746, 408, 1693, 160, 8163, 7226
, 1213, 4212, 12270, 10660, 12557, 6977, 9621,, 12199, 5716, 800, 6723, 2111, 7344, 5999, 851, 9265, 5915, 12480, 5903, 6969,, 11620,, 15565, 15261, 1553, 9244, 5432,,, 11800, 10850, 12524, 8900, 11294, 4530, 12042, 9644,, 14695, 2748, 932, 11576, 10881, 5712, 75, 1208, 8403, 11161, 729, 14056, 12343, 3526, 2399, 9433, 6898, 14212, 3088, 4911, 6234, 11708, 3248, 395, 3646, ,, 3478,, 5114, 7977,, 5774,, 9201, 1938, 532, 170, 939, 6957, 14203, 2533, 9939, 2677, 2764, 4990, 11736, 679, 5212, 8078, 13046, 13938, 940, 1363, 2669, 1122, 11562, 11903, 7909, 3960, 5681, 14706, 10992,, 2747, 409, 1694, 161, 8185, 7246
