1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
327,4782,566,3497,923,5574,174,7203,12281,695,4640,60,6493,4612,1227,2296,2868,10470,2423,5464,10139,15530,4542,14860,6345,2247,3057,7741,7782,335,961,10578,411,5964,10214,1167,13133,6340,1996,2388,151,789,14006,2056,8072,3922,1895,2211,11467,833,945,4790,4965,11065,6948,3447,12563,15212,3994,14630,11278,730,880,1461,13306,266,14922,469,6200,1360,4479,6954,2461,11590,8927,4947,8216,2960,9333,6968,6015,1299,8939,89,6408,7415,5282,8502,10654,3158,10462,5228,7437,11147,5760,9120,1027,9965,8553,1497,4753,583,10174,10262,1877
328,4783,567,3498,948,5575,175,7224,12282,696,4641,80,6494,4635,1228,2297,2869,10471,2424,5465,10663,15531,4563,14861,6892,2248,3058,7742,7783,336,962,10579,412,5965,10215,1168,13156,6341,1997,2389,152,790,14007,2057,8073,3923,1896,2234,11491,834,946,4791,4988,11066,6949,3448,12586,15236,4017,14631,11299,731,900,1485,13307,267,14923,470,6201,1383,4480,6975,2483,11591,8928,4948,8217, ,9334,6969,6016,1300,8961,90,6883,7416,5806,8503,10655,3159,10463,5229,7438,11148,5761,9121,1028,9966,8576,1519,4776,607,10175,10861,1882
329,4802,588,3499,949,6126,194,7225,12283,697,4664,81,6495,4636,1229,2870,2893,10472,2425,5466,10664, ,4564,14882,6893,2272,3059,7765,7805,860,963,10580,413,5988,10238,1169,13157,6363,1998,2390,153,791,14030,2058,8095,3924,1919,2235,11492,855,947,4812,4989,11067,6950,3995,12587,15237,4018,14632,11300,752,901,1486,13330,268,14945,471,6223,1384,4481,6976,2484, ,9401,4971,8218,,9335,6992,6017,1323,8962,91,6884,7417,5807,8504,10656,3160,10464,5230,7460,11149,5762,9122,1029,9967,8577,1520,4801,608,10198,11486,2327
330,4803,589,3521,973,6127,195,7226,12306,698,4665,82,6496,4637,1230,2895,2894,10494,2448,5467,10687,,4565,14883,6894,2273,3083,7766,7806,861,964,10581,414,5989,10239,1170, ,6364,1999,2410,176,813,14031,2081,8096,3925,1920,2236, ,856,968,4813,4990,11091,7523,3996,12588,15238,4019,15180,11301,753,902,2086,13331,269,14946,472,6224,1385,4504,6977,2485,,9402,4972,8219,,9357,6993,6040,1324,8963,92,6885,7418,5808,8505,10657,3161,10465,5231,7461,11150,5782,9123,1030,9968,9177,1521,5301,609,10199,12111,2328
331,4804,590,3522,974,6150,196,7250,12307,720,4666,83,6518,4638,1231, ,2917,10495,2449,5488,10688,,4566,14884,6895,2820,3084,8340,7807,885,965,10603,415,5990,10240,1191,,6365,2022,2411,177,814,14032,2082,8097,3926,1945,2259,,857,969,4814,5014,11092,7524,3997,12611,15262,4044,15181,11302,754,903, ,13332,288,14947,473,6225,1408,4505,6978,3085,,9426,5519,8220,,9358,6994,6041,1325,8987,93,6906,7419,5831,8524,10678,3184,10484,5252,7462,11151,5783,9142,1031,9989, ,1522,5302,1105,10200,12112,2329
332,4805,591,3523,998,6151,197,7702,12308,721,4667,84,6519,4660,12428,,2918,10496,2450,5489,10689,,4587,14885,6896,2821,3108,8365,7808,886,966,10604,416,6013,10263,1192,,6366,2023,2412,178,815,14056,2083,8098,3927,2415,2260,,858,970,4815,5015,11589,7525,4020,12612, ,4518,15204,11303,755,904,,13354,289,14948,474,6676,1409,4506,6979, ,,9427,5520,8221,,9359,7017,6539,1349,9512,94,6907,7420,5832,8525,10679,3734,10485,5253,7463,11172,5784,9143,1052,10466,,2019,5303,1106,10224, ,2330
351,4806,592,3524,999,6152,198,7703,12830,722,4668,85,6520,4661,12430,,2919,10497,2474,5490,10690,,4588,14886,6897,2822,3556, ,7809,908,967,10605,417,6014,10264,1193,,6887,2024,2413,626,816,14057,2084,8120,3928,2416,2810,,859,971,4816,5040,11613,7548,4021,12613,,4543,15205,11325,756,924,,13355,290,14949,475,6700,1410,4530,7003,,,9451,5543,8222,,9360,7018,6540,1350,9513,111,6908,7439,5833,8528,10680,3735,10486,5254,7485,11173,5785,9144,1053,10490,,2020,5326,1107,10225,,2351
352,4807,593,3525,1023,6153,199,7704,12831,723,4690,105,6521,4662,12453,,2920,10519,2950,5491,10712,,4589,14907,6917,2845,3557,,7830,909,987,11179,432,6038,10265,1194,,6888,2025,2414,627,837, ,2085,8121,3945,2421,2811,,881,972,4837,5538,11614,7549,4022,12636,,4544,15206,11326,777,925,,13356,291,14970,476,6701,1886,4531,7527,,,9452,5544,8241,,9361,7567,6541,1375,9514,112,6909,7440,5834,8529,10681,3736,10487,5255,7486,11174,5786,9145,1054,10491,,2021,5327,1128,10674,,2352
353,4830,611,3547,1024,6176,200,7726,12853,724,4691,106,6544,4663,12454,,2921,10520,2973,5492,10713,,4590,14908,6918,2846,3558,,7831,910,988,11180,433,6588,10289,1195,,6889,2048,2436,651,838,,2106,8122,3946,2440,2835,,882,993,4838,5539,11615,7550,4023,12637,,4567,15207,11327,778,926,,13357,292,14971,477,6702,1907,5054,7551,,,9476,5545,8242,,9383,7568,6542,1897,9536,113,6910,7441,5856,8530,10682,3759,10488,5277,7487,11175,5809,9146,1055,10492,,2043,5328,1129,10698,,2353
354,5305,612,3548,12799,6177,220,7727,12854,745,4692,107,6545,4684,12455,,2942,10521,2974,5493,10714,,4591,14909,6919,2847,3559,,7832,911,989,11203,434,6589,10290,1217,,6890,2049,2437,676,839,,2107,8123,3947,2441,2836,,883,994,4839,5562,11616,7573,4024,12638,,4568,15208,11328,779,927,, ,293,14972,492,6703,1908,5055,7552,,,9477,5546,8243,,9384,7592,6543,1898,9537,114,6930,7442,5857,8531,10683,3760,10489,5278,7488,11176,5810,9147,1056,10493,,2044,5350,1130,10699,,2354
355,5329,613,3549,12800,6178,221,7728,12855,746,4693,108,6546,4685,12478,,2943,10544,2975,5514,10715,,4613,14910,6920,2848,3560,,7833,933,990,11204,435,6613,10839,1218,,6891,2050,2438,701,840,,2108,8145,3948,2445,2860,,884,995,5413,5563,11617,7574,4045,13187,,4569,15229,11352,780,928,,,294,14973,493,6724,1911,5078,7553,,,9478,5569,8244,,9385,7593,6564,1899,9538,115,6931,7443,5858,8548,10703,3761,10509,5279,7961,11198,5811,9148,1078,10515,,2045,5351,1131,10700,,2355
356,5330,614,3550,12824, ,222,7729,12856,747,4694,109,6571,4686,13027,,2944,10545,2998,5515,10737,,4614,15459,6921, ,3581,,7834,934,991,11205,436,6614,10863,1219,,6912,2073,2439,726,862,,2109,8146,3949,2446,2861,,907,996,5414,5564,11638,7575,4046,13188,,4592,15230,11353,781,929,,,315,14974,494,6725,1933,5079,7576,,,9500,5570,8245,,9386,7618,6565,1900,9539,116,6932,7444,5859,8549,10704,3784,10510,5280,7962,11199,6334,9167,1079,10516,,2046,5352,1132,10701,,2376
357,5331,615,3573,12825,,223,7730,12857,748,5265,110,7019,4687,13028,,2945,11095,2999,5516,10738,,4615,15482,6922,,3582,,7835,935,992,11228,437, ,10864,1220,,6913,2074,2462,751,863,,2110,8147,3950,2447,2885,,1432,997,5415,5565,11639,8150,4047,13212,,4593,15231,11378,802,950,,,316,14995,495,6726,1934,5080,7577,,,9501,5571,8246,,9387,7619,6566,1901,9561,117,6933,7464,5881,8550,10705,3785,10511,5780,7963,11200,6335,9168,1080,10517,,2047,5353,1133,10702,,2377
376,5332,616,3574,12849,,224,7751,12878,1320,5266,130,7020,4688,13029,,2946,11119,3000,5517,10739,,5116,15483,6944,,3583,,7856,936,1013,11229,438,,10865,1244,,6914,2075,2463,776,864,,2111,8148,3951,2465, ,,1433,1018,5416,5587,11640,8174,4048,13213,,4594,15232,11876,803,951,,,317,14996,496,6727,1935,5081,7578,,,9502,5572,8265,,9884,7643,6567,1921,9562,118,6934,7465,5882,8554,10706,4360,10512,5804,7984,11201,6359,9169,1081,10518,,2068,5376,1153,10723,,2378
