1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
 11931, 13339, 1108, 11821, 7227, 353, 5330, 1243, 6223, 7698, 8913, 996, 7764, 10561, 3097, 3753, 2944, 11543, 9681, 89, 12221, 3654, 14545, 12860, 1245, 880, 9853, 8260, 177, 7613, 1374, 268, 6646, 7594, 5534, 10756, 4514, 782, 4567, 10315, 92, 13409, 155, 12789, 13768, 3283, 5705, 10590, 2089, 2780, , 2695, 325, 2144, 6793, 8569, 5246, 9778, 1041, 2894, 4671, 2167, 9639, 5724, 1731, 11976, 5490, 9612, 4243, 5697, 11089, 678, 15053, 10941, 15369, 15441, 2439, 11393, 12868, 8561, 5497, 11642, 492, 1366, 3846, 8436, 5297, 771, 7357, 4478, 5210, 340, 482, 449, 6781, 836, 2825, 649, 14166, 7273, 9844, 4085, 4661, 3210
 11954, 13340, 1109, 11844, 7228, 354, 5331, 1769, 6224, 7699, 8914, 997, 7788, 10562, 3098, 3754, 2945, 11544, 9702, 90, 12222, 3675, 14546, 12861, 1246, 881, 9854, 8261, 198, 7614, 1375, 269, 6669, 7595, 5535, 10757, 4515, 783, 4568, 10788, 93, 13410, 156, 12790, 13793, 3284, 5706, 10591, 2090, 2781,, 2696, 348, 2145, 6815, 8592, 5270, 9779, 1042, 2895, , 2168, 9640, 5725, 2154, 11977, 5491, 9633, 4244, 5698, 11110, 679, 15054, 10942, 15370, 15442, 2440, 11413, 12869, 8584, 5521, 11665, 493, 1386, 4395, 8437, 5298, 796, 7882, 5001, 5211, 341, 483, 450, 6782, 837, 2826, 650, 14167, 7274, 9845, 4086, 5284, 3211
 11955, 13341, 1110, 11845, 7229, 355, 5780, 1793, 6225, 7701, 8937, 998, 7789, 11135, 3099, 3755, 2969, 11545, 9703, 111, 12223, 3676, 15144, 12862, 1247, 882, 9855, 8756, 199, 7615, 1376, 270, 6670, 7596, 5536, 10781, 4516, 784, 4569, 10813, 94, 13411, 157, 12791, 13794, 3285, 5707, 10592, 2091, 2782,, 2720, 349, 2146, 6816, 8593, 5271, 9780, 1043, ,, 2192, 9641, 5726, 2179, 11978, 5988, 9634, 4266, 5721, 11111, 701, , 10943, 15393, 15443, 3064, 11414, 12894, 8585, 5522, 11666, 494, 1387, 4396, 8438, 5299, 1324, 7904, 5002, 5212, 342, 506, 451, 6804, 838, 2827, 674, 14191, 7776, 9846, 4108, 5285, 3212
 11956, 13362, 1111, 11846, 7230, 356, 5781, 1794, 6226, 7722, 8938, 999, 7790, 11160, 3123, 3756, 2970, 11546, 9704, 112, 12245, 3677, 15145, 12883, 1770, 883, 9856, 8757, 200, 7637, 1377, 271, 6671, 8140, 5537, 10782, 4537, 785, 4570, 10814, 95, 13434, 178, 13342, 13818, 3286, 5730, 10593, 2110, 3306,, 2721, 350, 2147, 6817, 8594, 5296, 9781, 1062,,, 2193, 9665, 5727, 2180, 11979, 5989, 9635, 4267, 5722, 11112, 702,, 10944, 15394, 15466, 3065, 11415, 13418, 9158, 5523, 12188, 495, 1388, 4397, 8439, 5300, 1348, 7905, 5026, 5233, 343, 507, 452, 6805, 839, 2828, 675, 14766, 7797, 9847, 4109, 5286, 3213
 11980, 13363, 1134, 11869, 7253, 357, 5782, 1817, 6227, 7723, 8939, 1019, 7813, 11161, 3124, 3757, 2994, 12095, 9705, 113, 12246, 3678, 15168, 12884, 1795, 884, 9857, 8758, 201, 7638, 1378, 272, 6693, 8141, 5538, , 4538, 807, 4592, 10815, 116, 13435, 179, 13365, 13843, 3287, 5731, 10614, 2111, 3307,, 3294, 849, 2169, 6818, 8618, , 9782, 1067,,, 2217, 9666, 5728, 2181, 12001, 5990, 9658, 4268, 6269, 11113, 703,, 10945, 15395, 15467, 3690, 11416, 13419, 9159, 5546, 12189, 512, 1389, 4398, 8440, 5323, 11348, 7906, 5027, 5234, 362, 508, 453, 6806, 861, 2848, 700, 14767, 7798, 9867, 4110, 5287, 3214
 11981, 13364, 1135, 11870, 7254, 358, 5783, 1818, 6228, 7724, 8940, 1020, 7814, 11785, 3722, 3758, 2995, 12096, 9706, 114, 12247, 3679, 15169, 12885, 1796, 885, 9858, 8759, 202, 7639, 1379, 293, 6694, 8142, 5539,, 4539, 808, 4593, 10838, 117, 13436, 180, 13366, 13868, 3308, 5732, 10615, 2112, 3330,, 3320, 851, 2170, 6819, 8619,, 9783, 1068,,, 2218, , 5729, 2182, 12002, 5991, 9659, 4269, 6270, 11136, 1251,, 10946, 15396, 15468, , 11417, 13442, 9160, 5547, 12190, 513, 1390, 4399, 8460, 5324, 11971, 7907, 5051, 5235, 363, 509, 454, 6807, 862, 2849, 1223, , 7799, 9868, 4111, , 3234
 12504, 13887, 1136, 11871, 7255, 359, 5804, 1819, 6229, 7725, 9538, 1021, 7815, , 3723, 3778, 3020, 12119, 9727, 115, 12248, 3696, 15170, 12886, 1820, 906, 9859, 8760, 224, 7640, 1398, 294, 6695, 8143, 5540,, 4540, 809, 5092, 10839, 118, 13437, 181, 13367, , 3309, 5733, 10616, 2113, 3331,, , 852, 2171, 6820, 8643,, 9784, 1592,,, 2219,, 5749, 2183, 12003, 5992, 9683, 4270, 6271, 11137, 1252,, 10967, 15419, 15492,, 11418, 13443, 9184, 5548, 12213, 514, 1391, 4400, 8461, 5325, 11972, 7928, 5052, 5236, 364, 510, 455, 6829, 1411, 2850, 1224,, 7800, 9869, 4134,, 3235
 12505, 13888, 1161, 12445, 7279, 378, 5805, 1842, 6246, 7726, 9539, 1022, 8415,, 3724, 3779, , 12120, 9728, 137, 12249, 3697, , 12908, 1821, 907, 9879, 8761, 225, 7662, 1399, 295, 6696, 8144, 5557,, 4541, 810, 5093, 10840, 119, 13460, 182, 13387,, 3310, 5757, 10617, 2114, 3332,,, 853, 2172, 6840, 8644,, 9803, 1610,,, 2693,, 5750, 2204, 12004, 6013, 9684, 4290, 6272, 11138, 1253,, 10968, 15420, 15493,, 11440, 13444, 9185, 5571, 12214, 515, 1413, 4420, 8462, 5851, 11973, 7929, 5053, 5237, 365, 530, 471, 6830, 1412, 2851, 1248,, 7801, 9870, 4135,, 3236
 12506, 13889, 1659, 12470, 7752, 379, 5806, 1843, 6247, 7747, , 1023, ,, 3748, 3780,, 12121, 9729, 138, 12271, 3698,, 12909, 1822, 908, 9880, 8762, 725, 7663, 1400, 296, 6718, 8145, 5558,, 4563, 834, 5094, 10841, 120, 14008, 203, 13388,, 3311, 5758, 10618, 2115, 3355,,, 874, 2194, 6841, 8668,, 9804, 1611,,, 2718,, 5752, 2205, 12552, 6014, 10159, 4291, 6273, 11162, 1276,, 10969, 15421, 15518,, 11441, 13466, 9209, 5572, 12215, 516, 1414, 4421, 8986, 5872, 11996, 7930, 5076, 5238, 366, 531, 472, 6831, 1436, 2852, 1249,, 7820, 9871, 4136,, 3689
 12507, 13912, 1660, 12495, 7753, 380, 5807, 1844, 6248, 7748,, 1024,,, 3749, 3781,, 12143, 9730, 139, 12272, 3699,, 12910, 1845, 909, 9881, 8763, 726, 7664, 1401, 297, 6719, 8165, 5559,, 4564, 835, 5095, 10842, 141, 14009, 204, 13389,, 3312, 6306, 10639, 2116, 3356,,, 875, 2195, 6842, 9167,, 9805, 1612,,, 2719,, 5753, 2206, 12553, 6015, 10160, 4292, 6294, 11611, 1277,, 10970, 15444, ,, 11442, 13467, 9210, 5596, 12216, 517, 1415, 4422, 8987, 5873, 11997, 7931, 5077, 5258, 367, 532, 473, 7379, 1437, 2874, 1250,, 7821, 9893, 4682,, 3712
