113
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
74,0.66304684,0.39581013,-0.80014855,-0.24527942,-0.5469318,0.021583483,0.93797708,1.605124,4.5144477,17.325033,11.487309,6.8574233,6.1428571,48.714287,128.14285,20.538002,1.8288021,1.9831856,1.2339059,21,6,0.31452528,1,1,1,4536,4536,4536
75,0.12371798,0.10534365,0.75838226,0.36870328,0.1365715,0.51986766,1.5450728,0.63687563,3.171936,81.253349,10.0525,8.5595245,129.13637,46.909092,128.31818,26.280642,3.3372164,2.0066359,2.4321702,44,8,0.00359968,1,1,1,9504,9504,9504
76,0.86319596,0.55257559,0.47784835,-0.35789001,-0.15812279,0.78649402,1.1112471,1.7116387,4.109118,17.774979,15.343288,9.8220196,63.976746,68.441864,110.16279,25.876261,0.87829012,1.1997257,3.2840602,42,8,0.38862091,1,0,0,9288,9072,9288
77,0.85388082,0.7203185,-0.011869978,0.90032095,0.4254705,0.090863407,4.6899896,0.4619818,6.1420527,16.524281,14.109765,11.902744,38.162792,135.55814,8.3023252,25.458828,3.3651752,2.2413723,0.19721588,40,9,0.32562709,1,1,1,9288,8640,9288
78,0.12863632,0.11050598,0.56313753,-0.025934389,0.67242783,0.4796294,0.84620738,1.5651692,4.7248259,82.845207,10.656902,9.154892,106.24529,83.71698,101.49056,27.240627,2.1443589,1.1978004,2.2364006,49,10,0.0044202511,1,1,1,11448,10584,11448
79,0.75546277,0.42317492,-0.592013,0.66748124,0.38826853,0.23073141,0.74182904,1.4900712,4.4422431,16.461592,12.436119,6.9661326,79.63636,54.81818,55.909092,20.858959,4.5892854,1.17804,4.0117378,22,9,0.31856403,1,0,0,4752,4752,4752
80,0.58331138,0.44349635,-0.61282843,-0.045355428,-0.75879717,0.21589603,1.4910448,0.78624153,3.2110274,44.309467,25.846214,19.651085,81.098038,127,44.274509,49.889282,1.3674728,1.3235155,1.2197222,301,19,0.16944653,1,1,1,66096,65016,66096
81,0.84821087,0.66672373,-0.54534048,-0.7311058,0.30920061,0.26922676,4.535172,0.72967255,5.4985514,15.408416,13.069586,10.273156,59.18182,43.18182,140.81818,23.633883,0.075520396,2.2967165,4.4988723,32,8,0.37651017,1,1,1,7128,6912,7128
82,0.86258304,0.094335496,0.12611099,0.37448215,0.36640093,0.84238327,3.1122065,1.549351,4.5756335,56.212631,48.488064,5.3028464,41.526318,132,92.842102,25.027239,3.9772823,0.81245494,1.4853542,38,7,4.5798817e-05,1,1,1,8208,8208,8208
83,0.28196153,0.2706798,-0.5487265,-0.16334035,-0.53807837,0.61862004,1.5924551,1.6523156,0.014536845,91.996826,25.939566,24.901684,67.464455,48.696682,118.06161,62.576878,1.0051991,1.219156,0.42656037,594,33,0.050006062,1,1,1,136728,128304,136728
84,0.83067781,0.58841914,-0.51534623,-0.32657707,-0.61907709,0.49447867,1.5595087,1.6376244,5.8171806,23.501249,19.521965,13.828585,79.710281,78.364487,39,34.895077,1.200171,1.431453,2.3717892,103,17,0.49748868,1,0,0,23112,22248,23112
85,0.91710544,0.66262549,0.14274782,-0.91228563,0.13450283,0.35953718,4.0107932,1.4523304,4.8853855,22.285336,20.438002,14.76683,57.210526,130.36842,22.157894,35.989674,1.3680291,2.3536201,4.1991935,113,11,0.51006472,1,1,1,24624,24408,24624
86,0.69599438,0.41903952,0.57736665,0.37518877,0.66936982,0.27897194,2.3570051,2.3683388,4.7379098,17.426947,12.129057,7.3025794,10.68,10.2,140.03999,20.858959,2.5419278,1.5190108,1.3894198,22,5,0.40635198,1,1,1,5400,4752,5400
87,0.77483845,0.63443613,0.50449586,0.7301228,-0.21467271,0.40782371,3.8932126,1.406951,5.8055086,16.699621,12.939509,10.594843,26.027027,93.972977,117.97298,23.633883,4.0285892,0.96958953,5.7696915,32,10,0.40201229,1,0,0,7992,6912,7992
88,0.75867629,0.48602653,-0.71354055,-0.59345794,0.34710294,0.13485962,0.76898736,1.0172479,5.8508492,16.594185,12.589615,8.0652142,117,118.84615,8.3076925,21.766991,5.7767467,2.3784463,4.3891892,25,3,0.31898531,1,1,1,5616,5400,5616
89,0.77488375,0.64855736,-0.30031011,0.35636333,0.86938679,0.16427337,0.7245605,1.2456307,4.003716,15.306677,11.860895,9.9272585,129.20689,116.79311,132.72414,21.170332,1.3096974,2.1152341,3.3887506,23,5,0.39325744,1,0,0,6264,4968,6264
90,0.77215523,0.68506712,0.0260936,-0.77535206,0.54651296,0.31539151,2.1464911,2.4263496,4.8925481,21.689396,16.74758,14.858691,80.297874,118.02128,92.106384,32.985634,4.2253571,0.6522609,5.073585,87,12,0.58420396,1,0,0,20304,18792,20304
91,0.85378182,0.32509467,0.45248333,0.75973922,-0.11468854,0.45266074,3.1257851,1.6210002,0.49691334,67.898643,57.970627,22.073488,108.84375,78.009377,114.24375,63.647072,4.4233713,2.1698844,2.3561008,625,31,0.0079072397,1,1,1,138240,135000,138240
92,0.17760472,0.13754003,-0.35228738,-0.38679573,-0.62711209,0.57707286,3.1258066,1.9343691,0.0019191597,88.564598,15.72949,12.181177,48.931034,68.710342,59.855171,39.018681,1.6589837,1.1011562,6.278059,144,15,0.016609069,1,1,1,31320,31104,31320
93,0.90861481,0.74009377,-0.39190859,-0.59040582,-0.70422029,0.043617569,0.52408963,1.0886536,0.81695342,35.362072,32.130501,26.171247,119.21521,31.241188,72.328384,59.977127,2.4937222,1.575139,0.52415377,523,27,0.71346235,1,1,1,116424,112968,116424
94,0.16294724,0.1580435,-0.58797729,0.77904761,0.20295192,0.078600451,1.5644089,2.3386159,0.026780127,63.051182,10.274016,9.9648294,93.692307,124.84615,92.192307,26.672947,4.157618,2.7027993,6.0061569,46,9,0.012368736,1,1,1,11232,9936,11232
95,0.82021195,0.58841521,-0.039169766,-0.84574175,0.4884845,0.21111481,3.7771039,1.6670442,5.7203226,14.272366,11.706365,8.398077,8.181818,52.636364,57.81818,20.858959,0.36165807,2.0193102,3.5958128,22,5,0.34550136,1,1,1,4752,4752,4752
96,0.19968033,0.18294634,0.40048996,-0.54442036,0.5035404,0.53820187,3.1264794,1.1319348,6.2744093,75.994293,15.174565,13.902878,33.586468,41.977444,36.022556,37.613895,1.4528968,1.4842598,3.3260128,129,16,0.014324317,1,1,1,28728,27864,28728
97,0.92467648,0.72551084,0.56311977,0.75781304,0.32914135,0.016778054,2.0128019,1.6588744,5.744997,27.551683,25.476395,19.989046,114.87805,127.7317,56.560974,46.261761,2.5534627,2.4698992,0.68999225,240,16,0.60410196,1,1,1,53136,51840,53136
98,0.74648213,0.68682241,0.50449586,0.7301228,-0.21467271,0.40782371,0.50339454,1.000937,4.0327554,29.056255,21.689976,19.956488,104.14679,83.72477,46.458717,44.665237,0.55705076,1.7759356,3.631361,216,14,0.57041883,1,0,0,47088,46656,47088
