OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=2.5614365027406487, time=37609.650944, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.013777392094366289, detrimental_crossover_rate=0.6936761643198164, beneficial_mutation_rate=0.08918968720028597, detrimental_mutation_rate=0.7736481493177345, beneficial_crossover_mutation_rate=0.014780476072226063, detrimental_crossover_mutation_rate=0.7454026894260759))
Generation:  50000
2.538e+00     56    f(X_0) = -14.721254 + (0.633523)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.977946)(X_2 + (-1.065153)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.626773 + X_2 + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) - (X_7 + sqrt(X_0) + sqrt((X_0)(X_0)))) - (X_1))((-7.071864 + (3.433513)(cosh(X_4)) - (X_1))^(-1)))))
2.539e+00     53    f(X_0) = -14.721254 + (0.633523)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.977946)(X_2 + (-1.065153)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.626773 + X_2 + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) - ((X_5)(X_5) + X_7)) - (X_1))((-7.071864 + (3.433513)(cosh(X_4)) - (X_1))^(-1)))))
2.541e+00     48    f(X_0) = -14.721254 + (0.633523)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.977946)(X_2 + (-1.065153)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.626773 + (-3)((X_6)((exp(X_3))(exp((2)(X_6)))))) - (X_1))((-7.071864 + (3.433513)(cosh(X_4)) - (X_1))^(-1)))))
2.542e+00     36    f(X_0) = -13.709751 + (0.000252)((X_3)^(-1)) + (1.108566)((-0.594651 + X_2 - (X_1))((0.359263 + (-0.554832)(X_3))(exp(X_7)) - (X_0)) + (-2.167760 + (0.617611)(X_1))(-0.739758 + exp(X_6 + X_7)))
2.542e+00     31    f(X_0) = -13.687572 + (1.103482)((-0.592987 + X_2 - (X_1))((0.360557 + (-0.560501)(X_3))(exp(X_7)) - (X_0)) + (-2.179820 + (0.615260)(X_1))(-0.730999 + exp(X_6 + X_7)))
2.546e+00     29    f(X_0) = -14.387831 + (1.183263)((-0.535226 + X_2 - (X_1))(0.270646 + (-0.588875)(X_3) - (X_0)) + (-2.113025 + (0.252754)(X_7))(-0.984328 + exp(X_6 + X_7)))
2.547e+00     28    f(X_0) = -5.454450 + (-0.942744)(X_0 - ((-0.379180 + X_2 - (X_1))(0.334066 - (X_0 + X_3)) + (-2.647267 + (0.361230)(X_0))(2.614703 + exp(X_6 + X_7))))
2.547e+00     27    f(X_0) = -12.363342 + (0.942744)((-0.379180 + X_2 - (X_1))(0.334066 - (X_0 + X_3)) + (-2.647267 + (0.361230)(X_0))(-0.153620 + exp(X_6 + X_7)))
2.550e+00     26    f(X_0) = (0.683638)(-17.853502 + X_0) + (-0.546246)((1 + X_7 + exp(X_6))(1 + X_7 + exp(X_6)) + (-0.133378)(log((X_6)((2)(-0.133378) + X_7)) - (X_0)) - (X_2))
2.550e+00     25    f(X_0) = (0.683638)(-17.853502 + X_0) + (-0.546246)((1 + X_7 + exp(X_6))(1 + X_7 + exp(X_6)) + (-0.133378)(log((X_6)((2)(-0.133378) + X_7))) - (X_2))
2.550e+00     24    f(X_0) = -14.631073 + (-0.545298 + X_2)(0.477805 - (X_0 + X_3)) + (-1.126731 + exp(X_6 + X_7))(-1.987008 + (-0.981212)(sqrt(X_3)))
2.550e+00     23    f(X_0) = -11.057928 + (-0.293895 + X_2)(0.502736 - (X_0 + X_3)) + (-2.410558 + (0.241420)(X_0))(0.408067 + exp(X_6 + X_7))
2.556e+00     21    f(X_0) = -12.304757 + (0.603554)((-0.000449)((X_2)^(-1)) + X_2) + (-2.337494 + (0.589372)(X_0))(exp(X_6 + X_7))
2.557e+00     18    f(X_0) = -19.402159 + (0.550144)(X_0 + X_2) + (4.530376)(sqrt(-1.054932 + (1.027045)(X_6) + X_7))
2.557e+00     16    f(X_0) = -12.306884 + (0.604185)(X_2) + (-2.333180 + (0.595724)(X_0))(exp(X_6 + X_7))
2.559e+00     14    f(X_0) = (-20.590114 + X_0 + X_3)((log(-4.048006 + X_6 + X_7))^(-1))
2.563e+00     12    f(X_0) = (-20.590114 + X_0)((log(-4.048006 + X_6 + X_7))^(-1))
2.569e+00     11    f(X_0) = X_0 + (80.406272)((-5.432914 + X_6 + X_7)^(-1))
2.571e+00     10    f(X_0) = -14.788066 + X_0 + (-2.481112 - (X_6))(X_6 + X_7)
2.578e+00     8    f(X_0) = -14.788066 + (-2.481112 - (X_6))(X_6 + X_7)
2.589e+00     7    f(X_0) = -14.916423 + (-2.536512)(X_6 + X_7)
2.685e+00     6    f(X_0) = -13.742589 - (exp(X_6 + X_7))
2.701e+00     5    f(X_0) = -14.867780 - (X_6 + X_7)
2.775e+00     4    f(X_0) = -13.791505 - (exp(X_6))
2.791e+00     3    f(X_0) = -14.858760 - (X_6)
2.883e+00     1    f(X_0) = -14.836122
