Max Schmid of Grain,Misorientation,Shared Surface Area,Grain Size,mP Slip Trans,Sphericity,Delta Max Schmid,Delta Grain Size,FIP
0.49259606431853203,0.9937636885568706,1692.0,111024,0.3412144619027727,0.61576664,0.10362710721291774,75816,-13.354792744883042
0.49498728629393723,1.018832172825131,1728.0,111024,0.5581412312589842,0.6583426,0.051174451585161485,89424,-13.820820702076936
0.4998743852432435,0.8955320277997946,504.0,44712,0.7913008868420165,0.60232586,0.02079826369640425,39528,-15.810528347849052
0.4932380786214148,0.97863356588558,972.0,137808,0.34588025661718047,0.35308477,0.07605293615286984,128952,-15.825522996772502
0.4977888812456902,0.9754798105227953,1332.0,137808,0.9444265285093002,0.53092426,0.021064445915575658,129816,-12.865626539713633
0.48177436012780506,0.9961210955958918,1044.0,94176,0.5016200620894364,0.67482156,-0.0017974880454081354,82728,-15.468814370898194
0.49964382784662326,0.972599743482514,936.0,54864,0.7937674121798711,0.49701679,0.1326879504771215,50112,-16.853833655630453
0.4964626548254944,0.9845044512701776,1044.0,137808,0.21583738951644763,0.35305217,0.10036580882885476,112320,-12.08496474179432
0.492109896183236,1.0093633080541324,2844.0,111024,0.7560851913586818,0.67482156,0.05718679288616618,-11880,-11.69336023518918
0.4964626548254944,1.0266051557517049,2664.0,89424,0.599748769962998,0.6583426,0.03856368055619497,-37152,-11.779257402430487
0.49464540705849525,1.0203031475745277,2232.0,137808,0.8486914972992503,0.70097876,0.03615927052376483,82512,-16.472325261141307
0.49498728629393723,1.0711600840588464,2844.0,137808,0.4376479327684917,0.67482156,0.09173021712697421,80136,-11.658505955068144
0.49598522083572694,0.9845044512701774,1080.0,137808,0.42025662855782625,0.35050821,0.007028849767518552,132408,-15.441674418307834
0.4998743852432435,0.8940184444437532,1116.0,122904,0.43187618264706257,0.6583426,0.10897256857180787,115560,-16.22977393641017
0.4964626548254944,1.0266051557517049,2124.0,137808,0.92637014576038,0.70097876,0.00047743398976746176,85104,-14.819228687897574
0.49964382784662326,1.0220697127279068,2412.0,137808,0.9253886777499091,0.70097876,0.07258929192080377,63504,-13.575783913065498
0.4977888812456902,1.05129012249773,2412.0,97200,0.04662704905054166,0.70097876,0.007998157137774464,56376,-14.733631519261223
0.4998743852432435,0.9517658569519131,720.0,97200,0.3622454798546155,0.70097876,0.04885177134888807,90288,-17.34034221158846
0.48177436012780506,1.0434483772975767,612.0,137808,0.6239169848525379,0.54505283,0.135652657604736,130248,-15.2764995377284
0.4964626548254944,1.0317140316165891,2088.0,111024,0.8130600250231209,0.70097876,0.05051039177936195,19224,-12.194653547065409
0.4932380786214148,0.9990846711972132,1944.0,91152,0.8769171225304757,0.62914395,0.01190229661548503,57024,-15.063128574327216
0.4932380786214148,0.9900265978686668,756.0,55296,0.9529998533548676,0.62914395,0.04228319353549875,33264,-16.809997056350014
0.49259606431853203,0.9882815523136286,1368.0,71064,0.2224501811235196,0.57278258,0.18359127775527118,59184,-13.431529581673425
0.4932380786214148,0.8996105268213405,1188.0,137808,0.5712923704246361,0.54056221,0.11747825501603049,120960,-16.74964177348987
0.49498728629393723,0.9821904601402519,1476.0,126576,0.5312454136196996,0.6583426,0.022368428676451557,103032,-11.879404822825707
0.49498728629393723,0.966758751829599,2232.0,122904,0.8357583995369253,0.67482156,0.019633731796059428,97200,-13.456546972079645
0.49598522083572694,1.0499250502898647,2376.0,111024,0.9115883275568544,0.67482156,0.057123232040516114,-26784,-12.573326549643545
0.4977888812456902,1.05129012249773,2808.0,137808,0.7459657990985741,0.70097876,0.017460798844966263,66744,-12.741927201529666
