1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
1431,77,14713,2017,11985,10427,11811,13755,14293,5546,538,12973,10825,10750,499,1443,8580,7194,8187,12094,6541,8125,1908,9584,2740,6555,4553,12168, ,8293,10413,7664,8126,6081,2913,5498,7990,12172,5611,918,5166,904,6389,3998,10075,14019,14144,7249,9445,10092,13540,7607,1083,430,583,10189,4383,6781, ,11130,10081,4106,4716,4098,11346,414,2907,1538,827,10151, , ,347,8528,11954,6907,6547,9631,4391,8832,3154,6219,88,9486,2449,10056,14488,14201,10527,12395,11662, ,635,3010,6812,7086,12366,2571,2761,240,7546,691,11887
1432,78,14714,2038,12006,10428,11833,13756,14841,6070,539,12974,10826,10774,500,1444,8581,7219, ,12095,6542,8599,1930,10132,2741,6556,4554,12191,,8294,10414,7665,8127,6082,2937,5499,7991,12173,5612,919, ,905,6390,3999,10097,14041,14168,7250,9446,10093,13541,7608,1084,431,584,10190,4384,6782,,11131,10082,4107,4736,4099,11347,415,2908,1539,828,10152,,,348,8529,11976,6928,6548,10129,4392,8833,3176,6220,105,9487,2450,10057,14489,14202,10548,12396,11683,,636,3034,6813,7087,12367,2591,2762,255,7566,692,11888
1453,79,14715,2039,12007,10451,11834,13757,14842,6094,540,12975,10827,10775,519,1466,8604,7220,,12096,6543,8600,1931,10133,2763,6557,4573,12192,,8295,10415,7666,8128,6106,3460,5500,8013,12174,5634,942,,906,6913,4000,10098,14042,14169, ,9469,10094,13542,7609,1085,451,585,10191,4408,6804,,11153,10105,4108,4737,4123,11348,416,2909,1562,849,10703,,,349,8530,11977,6929,6570,10130,4413,8834,3177,6221,106,9510,2451,10628,14490,14203,10549,12397,11684,,637,3534,6814,7107,12386,2592,2784,256,7567,715,11889
1454,94,14716,2040,12008,10452,11835,13758,14843,6095,1036,12995,10828,11375,520,1467,8605,7221,,12669,6544,8601,1932,10134,2764,6578,4574,12691,,8318,10437,7667,8129,6107,3461,5523,8014,12175,5635,943,,928,6914,4001,10646,14043,14193,,9470,10095,13565,7631,1657,452,607,10192,4409,6805,,11154,10106,4109,4738,4124,11349,417,2929,1563,850,10726,,,350,8551,11978,6930,6571,10131,4414,8857,3178,6742,107,9511,2474,10629,14491,14226,10550,12398,11685,,638,3535,6832,7108,12387,2593,2785,257,7568,716,11911
1455,95,14738,2041,12009,10453,11836,13778,14844,6119,1037,12996,10829, ,521,1468, ,7243,,12670,7066,8623,1933,10157,2765,6579,4575,12692,,8319,10438,7687,8151,6680,3462,5524,8015,12196,5636,944,,929,6915,4002,10647,14044,14194,,9471,10117,13566,7632,1658,453,608,10714,4410,6806,,11155,10107,4128,4739,4125,11350,418,2930,1588,851,10727,,,351,8552,11979,6931,6572,10154,4415,8858,3179,6743,108,10033,2475,10630,14513,14227,10551,12399,11686,,639,3559,6833,7109,12388,2594,2786,258,7569,717,11912
1456,96,14739,2042,12010,10476,11858,13779,14865,6120,1061,12997,10852,,522,1469,,7244,,12671,7067,8624,1954,10158,2766,6580,4576,12715,,8867,10439,7688,8152,6681,3485,6025,8016,12197,5637,1541,,930,6937,4021,10648,14066,14793,,9472,10118,13567,7633,1659,454,609,10715,4411,6830,,11156, ,4129,4740,4149,11370,419,2931,2137,852,10728,,,352,8553,12527,6932,7046,10155,4416,8859,3200,6744,109,10034,2499,10631,14514,14228,10552,12418,11687,,640,3560,6837,7110,12389,2595,2787,259,7570,718,11913
1457,97,14740,2062,12011,11027,11859,13780,14866,6121,1062,12998,10853,,523,1491,,7245,,12693,7090,8625,1955,10159,2767,6581,4577,12716,,8868,10440,7689,8153,6682,3486,6047,8040,12198,6183,1542,,931,6938,4022,10671,14067,14818,,9494,10616,13590,7634,1660,455,610,10738,4412,6831,,11157,,4130,4741,4150,11371,420,2932,2162,853, ,,,353,8578,12528,6954,7047,10156,4417, ,3201,6745,110,10035,2500,10632,14515,14251,10573,12419,11708,,641,3561,6838,7111,12390,2617,2810,260,7571,740,11914
1479,98,14741,2063,12032,11051,11860,13781,14867,6122,1063,12999,10854,,524,1492,,7246,,12694,7091,8626,1956,10160,2788,6582,4578,12717,,8892,10463,7690,8154,6683,3487,6048,8562,12199,6184,1543,,932,6939,4023,10672,14068,14819,,9495,10617,13591,7657,1661,456,1108,10739,4433,7379,,11178,,4131,4760,4748,11372,421,2933,2187,854,,,,371,9029,12551,6955,7070,10179,4438,,3202,6766,111,10036,2501,10633,14516,14252,10574,12420,11709,,660,3583,6839,7112,12391,2618,2811,261,7572,741,11937
1480,99,14763,2064,12033,11052,11861,13782,14868,6145,1064,13570,10877,,525,1493,,7247,,12695,7092,8648,1957,10161,2789,6583,4601,12718,,8893,10464,7691,8176,6705,3488,6049,8563,12746,6185,1544,,953,6940,4024,10673,14069, ,,9496,10618,13592,7658,1683,457,1109,10740,4434,7380,,11179,,4132,4761,4749,11373,422,2955, ,873,,,,372,9030,12552,6956,7071,10180,4439,,3203,6767,112,10058,2502,10653,14517,14826,10575,12421,11710,,661,3584,6857,7113,12392,2619,2812,262,7592,742,11938
1481,100,14764,2065,12034,11053,11884,13783,14869,6146,1086,13571,10878,,542,1494,,7268,,12696,7093,8649,1958,10182,2790,6602,4602,12740,,8894,10465,7692,8177,6706,3510,6050,8564,12747,6186, ,,954,6941,4025,10696,14091,,,9497,10640,13617,7659,1684,476,1110,10741,4435,7404,,11180,,4133,4762,4773,11374,441,2956,,874,,,,373,9052,12553,6957,7072,10181,4440,,3204,6768,113,10059,2524,10654,14538,14827,10576,12422,11711,,662,3585,6858,7132,12409,2620,3284,263,7593,743,11939
