1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
12972,708,9811,199,,663,6414,,8450,6912,6037,10774,6257,10875,861,12461,7451,3928,7490,5798,4613,4480,9577,4979,,3151,12139,3097,526,7298,3558,244,13059,8891,12401,10838,7804,12686,7228,10551,12564,447,6843,7047,1658,113,,548,5930,5668,679,,,,3447,5419,10941,329,4499,7495,,8007,10311,4778,1132,1539,,11434,2993,487,11494,7555,12756,4131,4262,2292,3239,4663,,6597,2712,339,7937,,12677,2046,9948,9401
12973,731,9812,200,,684,6415,,8451,6913,6038,10775,6258,10876,884,12462,7452,3929,7492,5799,5139,4481,9578,4980,,3152,12140,3098,527,7299,3559,245,13060,8892,12402,10839,7828,12708,7229,10552,12585,448,6867,7067,1680,114,,549,5931,5690,680,,,,3448,5441,10964,330,4500,7496,,8028,10312,4779,1133,1560,,11457,3013,512,11495,7556,12757,4132,4263,2293,3712,4664,,6598,2713,340,7938,,12700,2066,9970,9402
12997,732,9813,201,,685,7013,,8473,6933,6039,10776,6259,10877,1356,12463,7453,3949,7513,5800,5161,4501,9579,4981,,3153,12141,3099,528,7300,3560,267,13084,8893,12403,11314,7829,12709,7251,10553,12586,449,6868,7068,1681,115,,550,5932,5691,681,,,,3470,5442,10965,331,4522,8044,,8029,10313,4780,1134,1561,,11458,3014,1034,11496,7557,12758,4680,4283,2294,3713,4665,, ,2714,341,7961,,13151,2067,9971,9403
12998,733,9814,202,,686,7014,,8474,6934,6063,10797,6282,10898,1357,12464,7473,3950,7514,5801,5162,4502,9601,4982,,3174,12142,3100,529,7319,3561,268,13085,8894,12405,11338,7830,12710,7252,10554,12587,464, ,7069,1682,120,,551,5933,5692,682,,,,3471,5443,11539,332,4996,8045,,8030,10336,4781,1135,1562,,11459,3015,1035,11519,7580,12779,4702,4284,2295,3714,4685,,,2715,342,7962,,13152,2068,9972,9426
12999,734,9835,203,,687,7015,,8475,6935,6064,10798,6283,10899,1358,12465,7474,3951,7515,5821,5163,4503,9602,4983,,3175,12164,3123,530,7320,3562,269,13659,8916,12406,11339,7831,12711,7253,10555,12588,465,,7070,1683,121,,552,5934,5693,683,,,,3472,5466,11540,333,4997,8046,,8031,10337,4782,1136,1563,,11480,3016,1036,11520,7581,12780,4703,4285,2316,3736,4686,,,3263,364,7963,,13176,2069,10494,9427
13022,735,9836,204,,709,7038,,8476,6936,6089,10799,6284,10900,1359,12466,7475,3952,7516,5822,5164,4504,9603,4984,,3176,12165,3124,553,7321,3585,270,13684,8917,12407,11340,7854,12712,7254,11101,12611,466,,7071,1684,138,,572,5935,5715,703,,,,3473,5467,11564,334,5019,8068,,8032,10338,4802,1137,1564,,11481,3017,1037,11521,7582,12781,4704,4286,2317,3737,4687,,,3264,365, ,,13177,2070,10495,9428
13023,736,9837,221,,710,7039,,8499,6937, ,10800,6307,10901,1360,12963,7476,3953,7517,5823,5186,4505,9604,5580,,3177,12166,3125,554,7322,3586,293, ,9394,12427,11362,7855,12733,7275,11102,13109,467,,7072,1706,139,,573,5955,5716,704,,,,3474,5840,11565,352,5020,8069,,8579,10362,4803,1156,1565,,11482,3018,1038,11522,7605,12782,4705,4287,2318,3738,4688,,,3265,366,,,13178,2071,10519,9429
 ,737,9838,222,,711,7040,,8500,6938,,10824,6308,10902,1361,12964,7477,3954,7539,5824,5187,4529,9626,5581,,3178,12167,3500,555,7323,4108,294,,9417,12428,11363,7856,12734,7276,11103,13110,468,,7093,1707,588,,574,5956,5717,705,,,,3495,5865,11566,353,5021,8070,,8580,10836,4804,1157,1584,,11483,3038,1039,11543,7606,12783,4706,4288,2319,3739,4689,,,3266,862,,,13200,2091,10520,9451
,757,9839,223,,712, ,,9026,6958,,10825,6309,10922,1362,12965,7498,3974,7540,5825,5188,5002,9627,5582,,3199,12190,3524,1001,7324,4109,295,,9418,12429,11364,7857,12735,7277,11104,13111,469,,7094,2281,589,,575,5957,5718,706,,,,3496,5866,11589,354,5022,8071,,8581,10837,4805,1158,1585,,11484,3039,1060,11544,7607,12804,4726,4309,2320,3740,4690,,,3288,863,,,13201,2092,10521,9452
,758,9860,224,,1211,,,9051,6959,,11349, ,10923,1380,12966,7499,3975,7565,5846,5189,5003,9628,5605,,3200,12191,3525,1002,7325,4110,743,,9419,12430,11365,7858,12736,7278,11126,13112,470,,7095,2282,590,,576,5958,5741,729,,,,3497,5867,11590,355,5023,8093,,8582,10860,4806,1159,1586,,11507,3040,1061,11545,7630,12805,4727,4310,2842,3761,4710,,,3289,864,,,13202,2093,10522,9453
,759,9861,225,,1212,,,9073,6960,,11372,,10924,1381,12986,7500,3976,7964,5847,5211,5004,10151,5606,,3201,12192,3546,1003,7343,4111,766,,9441,12431,11385,7859,12737,7301,11127,13134,471,,7096,2283,591,,577,5959,5742,730,,,,3498,5889,11591,356,5024,8094,,8583,10861,4807,1160,1587,,11508,3041,1062,11546,7631,12806,4728,4311,2843,3762,4711,,,3290,865,,,13203,2094,10544,9454
,762,9862,226,,1235,,,9074,6961,,11373,,10925,1382,12987,8026,3977,7965,5848,5212,5005,10152,5607,,3202,12216,3547,1004,7344,4133,767,,9442,12432,11386,7860,12738,7302,11128,13135,472,,7097,2305,592,,578,5960,5743,1205,,,,3499,5890,11614,357,5025,8095,,8603,10862,4808,1161,1588,,11509,3042,1063,11547,7655,12807,4729,4312,2844,3763,4712,,,3291,885,,,13204,2095,10545,9475
,11984,10387,227,,1236,,,9075,6962,,11374,,10926,1383,12988,8027,3978,7966,5849,5213,5006,10176,5608,,3203,12241,3548,1024,7345,4134,768,,9443,12452,11387,7879,12759,7303,11129,13136,473,,7119,2306,593,,579,5981,5766,1229,,,,3521,5891,11615,358,5045,8096,,8604,10863,4828,1162,1589,, ,3043,1085,11568,7656,12808,4730,4313,2866,3764,4713,,,3292,886,,,13225,2096,10546,9476
,12009,10388,228,,1237,,,9076,6963,,11375,,10927,1384,12989,8048,3979,7988,5850,5214,5026,10177, ,,3225,12714,3549,1025,7346,4135,769,,9444,12453,11388,7880,12760,7802,11130,13137,474,,7120,2307,594,,596,5982,5767,1230,,,,3522,5892,11616,379,5046,8119,,8605,10885,4829,1181,1590,,,3044,1086,11569,8054,12809,4731,4335,2867,3765,4714,,,3313,887,,,13226,2115,10547,9477
,12533,10411,246,,1260,,,9097,6982,,11397,,10947,1385,12990,8049,3999,7989,5872,5236,5027,10178,,,3226,12715,3550,1026,7347,4136,770,,9445,12454,11389,7881,12761,7827,11131,13138,488,,7121,2308,595,,597,5983,5768,1231,,,,3523,5893,12189,380,5047,8120,,8606,10886,4830,1182,1609,,,3063,1087,11570,8078,13281,4732,4336,2868,3766,4737,,,3314,888,,,13227,2116,10548,9478
,12534,10412,247,,1261,,,9098,6983,,11398,,10948,1386,12991,8050,4000,7990,5873,5237,5028,10201,,,3227,12716,3571,1027,7348,4137,791,,9465,12478,11390,7882,12762,7851,11151,13139,489,,7122,2931,613,,598,5984,5791,1232,,,,4070,5894,12214,381,5048,8720,,8607,10887,4831,1183,1610,,,3064,1088,11571,8079,13305,4752,4337,2869,3785,4738,,,3315,889,,,13228,2117,10569,9479
,12558,10413,248,,1262,,,9099,6984,,11399,,10949,1387,13011,8051,4001,7991,5874,5238,5029,10202,,,3228,12717,3572,1028,7349,4158,792,,9466,12479,11410,7883,12784,7852,11152,13140,490,,7123,2932,614,,599,5985,6190,1233,,,,4071,5914,12215,382,5049, ,,8608,10888,4832,1184,1611,,,3065,1112,11592,8080,13306,4753,4360,2890,3786,4739,,,3316,890,,,13229,2118,10570,9480
,12559,10414,249,,1284,,,9100,6985,,11400,,10950,1405,13012,8052,4002,7992,6376,5239,5030,10203,,,3726,12739,3573,1029,7368,4159,793,,9467,12927,11411,7884,12785,7853,11153,13160,491,,7145, ,615,,600,6006,6215,1234,,,,4072,5915, ,830,5050,,,8627,10910,4853,1185,1612,,,3066,1686,11593,8103,13307,4754,4361,2891,3787,5260,,,3337,891,,,13250,2119,10571,9501
,12583,10435,250,,1285,,,9101,6986,,11422,,10951,1406,13013,8053,4003,8013,6397,5811,5031,10226,,,3727,12740,3574,1049,7369,4160,794,,9468,12928,11412,7885,12786,7876,11154,13161,492,,7146,,616,,601,6007,6240,1253,,,,4073,5916,,831,5070,,,8628,10911,4854,1186,1613,,,3067,1711,11594,8104,13308,4755,4833,2892,3788,5261,,,3338,912,,,13251,2120,10572,9502
,12584,10436,251,,1286,,,9124,6987,,11423,,10952,1407,13014,8072,4004,8014,6398,5812,5051,10227,,,3728,12741,3575,1050,7370,4161,795,,9469,12929,11413,7886,12787,7877,11155,13162,493,,7147,,617,,602,6008,6241,1254,,,,4095,5917,,854,5071,,,8629,10912,4855,1187,1614,,,3068,11612,11595,8105,13329,4756,4834,2893,3789,5262,,,3339,913,,,13252,2121,10573,9503
,12608,10437,252,,1287,,,9125,6988,,11424,,10972,1408,13015,8073,4024,8015,6399,5813,5052,10228,,,3751,12742,3595,1051,7371,4162,796,,9470,12951,11414,7904,12810,7878,11156,13163,494,,7148,,618,,603,6009,6263,1255,,,,4096,5918,,855,5072,,,8630,10913,4856,1206,1615,,,3588,11636,11596,8106,13330,4757,4835,2894,3790,5263,,,3340,914,,,13253,2140,10595,9504
,12609,10438,271,,1309,,,9699,6989,,11425,,10973,1409,13016,8074,4025,8016,6400,5814,5053,10252,,,3752,12763,3596,1052,7372,4183,816,,9471,12952,11415,7905,13284,7901,11157,13164,495,,7149,,619,,604,6010,6264,1256,,,,4097,5919,,856,5073,,,8631,10935,5402,1207,1633,,,3589,11637,11617,8107,13331,5327,4836,2895,3791,5264,,,3889,915,,,13254,2141,10596,9505
,12610,10439,272,,1310,,,9701,7007,,11448,,10974,1410,13017,8075,4026,8017,6401,5836,5054,10253,,,3753,12764,3597,1053,7373,4184,817,,9490,12953,11437,7906,13285,7902,11176,13165,496,,7171,,620,,621,6034,6265,1257,,,,4098,5920,,857,5074,,,8632,10936,5403,1208,1634,,,3590,11638,11618,8108,13332,5328,4837,2915,3810,5285,,,3890,916,,,13274,2142,10597,9506
,12633,10440,273,,1311,,,9722,7008,,11449,,10975,1411,13036,8076,4027,8018,6402,5837,5055,10801,,,3774,12765,3598,1054,7374,4185,818,,9491,12954,11438,7907,13286,7903,11177,13185,497,,7172,,639,,622,6455,6266,1258,,,,4099,5939,,878,5075,,,8633,10937,5404,1209,1635,,,3613,11639,11619,8109,13333,5329,4838,2916,3811,5286,,,3891,939,,,13275,2143,11119,9529
,12634,10460,274,,1312,,,9723,7009,,11450,,10976,1412,13037,8077,4028,8038,6422,5838,5056,10802,,,3775,12766,3599,1074,7394,4186,819,,9492,12955,11439,7908,13309,7927,11178,13186,498,,7173,,640,,623,6456,6267,1259,,,,4120,5940,,879,5095,,,8653,10938,5405,1210,1636,,,3614,11640,11620,8127,13353,5330,4857,2917,3812,5287,,,3914,940,,,13276,2144,11120,9530
,12635,10461,275,,1334,,,9724,7010,,11998,,10977,1430,13038,8098,4029,8039,6423,5839,5076,10826,,,3776,12767,3600,1075,7395,4187,820,,9493,12956,11440,7909,13310,7928,11179,13187,513,,7174,,641,,624,6457,6288,1278,,,,4121,5941,,880,5096,,,8654,10961,5406,1708,1637,,,3615,11661,11621,8128,13354,5351,4858,2918,3813,5288,,,3915,941,,,13277,2145,11144,9531
