1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
7969,168,53,7102,4399,8710,2908,3588,348, ,9695,6439,10264,2657,10903,8654,2005,10127,9543,5425,8832,926,8649,14558,11369,1344,205,13442,2093,13886,690,3092,60,7287,13301,6081,3389,6288,7480,8865,757,5238,11483,1002,3893,11895,6188,10517,7190,5182,3176,252,8068,14798,2049,1929,11333,4327,668,987,429,2253,2756,6405,6423,309,1054,7554,8087,9353,8510,435,3670,5649,2316,630,3975,3935,6937,1521,763,5234,495,9673,5242,9802,1849,4775,1368,533,10632,5552,5635,4705,2758,11175, ,9058,8385
8492,169,54,7103,4424,8711,2932,3589,366,,9696,6463,10285,2658,10926,8655,2006,10652,9544,5447,8856,927,8650,14559,11392,1345,206,13443,2094,13887,691,3640,61,7288,13302,6082,3390,6888,7481,8866,758,5239,11484,1022,3894,11896,6189,10518,7211,5183,3177,253,8069,14799,2070,1930,11882,4328,669,988,430,2254, ,6406,6424,310,1055,7555,8610,9354,8532,436,3671,5670,2317,631,3976,3936,6938,1522,764,5858,496,9674,5243,9803,1850,4776,1389,534,10633,5575,5657,4728,2759,11176,,9059,8833
8493,170,55,7104,4425,8712,2933,3590,367,,9697,7014,10286,2659,10927,8656,2026,10676,9545,5448,9381,928,9170, ,11393,1346,207,13444,2118,13888,709,3641,62,7289,13303,6604,3391, ,8029,8889,759,5263,11485,1023,3918,11897,6210,10519,7212, ,3201,274,8091,14800,2071,1931,11883,4329,670,989,431,2801,,6407,6446,311,1056,7576,8611,9355,8533,437,3672,5671,2318,632,4000,3937,6939,1523,784, ,497,9675,5244,9826,1874,4777,1390,535,10634,5576,5658,4729,2760,11177,,9060,8834
8494,171,56,7105,4449,8713,2934,3591,368,,9717,7038,10287,2682,10928,8657,2027,10677,10067,5449,9382,929,9171,,11394,1347,208,13467,2119,13889,710,3642,63,7290,13326,6605,3414,,8054,8890,782,5264,11506,1024,3919,11917,6211,10520,7213,,3202,275,8092,14823,2072,1932,11884,4330,671,990,955,2802,,6408,6447,312,1057,7577,8635,9356,8534,438,3673,5672,2319,654,4001,3960,6961,1524,785,,498,9698,5245,9827,1875,4778,1391,536,10635,5577,5659,4730,2761,11178,,9061,8835
8518,172,57,7126, ,8714,2935,3612,369,,9718,7039,10288,2683,10929,8658,2028,10678,10092,5450,9405,949,9172,,11417,1348,228,13468,2120,13911,711,3665,64,7291,13327,6606,3415,,8055,8891,783,5289,11507,1025, ,11918,6212,10542,7214,,3225,749,8093,14824,2073,1953,11885,4351,672,991,978,2803,,6409,6448,313,1077,7578,8636,9357,8535,458,3693,5673,2320,1151,4026,3961,6962,1546,786,,516,9699,5265,9828,2449,4779,1392,537,10658,5600,5660,4755,2780,11179,,9081,8836
8519,189,73,7127,,8715,2936,3613,370,,9719,7063,10289,3233,10951,8679,2029,10679,10117,5901,9406,950,9173,,11418,1349,229,13469,2142,13912,712,3666,65,7311,13328,6629,3416,,8080,8914,1332,5863,11508,1026,,11919,6213,10543,7215,,3226,750,8094,14825,2074,1954,11886,4352,673,1012,979,2804,,6410,6449,332,1078,7579,8637,9378,8559,459,3694,5674,2341,1152,4522,3962,6963,1547,787,,517,9700,5266,9851,2450,4803,1414,538,10659,5601,5682,5301,2781,11200,,9082,8837
8543,190,74,7128,,8736,2957,3614,371,,9720, ,10290,3234,10952,8680,2030,10680,10119,5923,9407,951,9174,,11419,1369,230,13492,2143,13913,713,3667,66,7312,13329,6630,3417,,8105,8915,1357,5864,11509,1027,,11920,6214,10544,7216,,3227,774,8116,14848,2095,1955,11906,4353,694,1013,980,2826,,6430,6450,333,1079,7580,8638,9379,8560,460,3695,5675,2342,1153,4523,4459,6964,1548,788,,518,9724,5267,9852,2474,4804,1415,539,10660,5602,5683,5302,2782,11201,,9083,8838
8544,191,75,7129,,8737,2958,3615,372,,9721,,10310,3258,10953,8681,2031,10701,10143,5924,9429,952,9194,,11992,1370,231,13493,2144,13914,714,3690,67,7313,13351,6631,3439,, ,8916,1358, ,11510,1047,,11921,6235,10545,7236,,3249,775,8117,14849,2096,1979,11907,4354,695,1014,981,2827,,6431,6471,334,1080,7601,8659,9380,8584,1007,4221,5695,2343,1154,4524,4484,6985,1549,789,,519,10172,5268,9876,2475,5326,1890,540,11207,5603,5684,5303,2783,11202,,9084,8839
8569,192,76,7130,,8738,2959,3616,392,,9722,,10311,3259,10954,8682,2053,10702,10144,5925,9430,953,9195,,12017,1371,232,13494,2145,13935,715,3691,85,7314,13352,6632,3440,,,8917,1359,,11531,1048,,11922,6236,10546,7237,,3250,798,8118,14850,2097,2554,11908,4355,696,1015,1003,2828,,6432,6472,335,1081,7602,8660,9403,9105,1008,4243,5696,2344,1176,4546,4485,6986,1571,808,,520,10173,5269,9877,2499,5351,1891,558,11208,5624,5685,5304,2784,11776,,9085,8857
 ,193,77,7151,,8739,2960,3637,393,,9723,,10312, ,11502,8683,2054,10703,10145,5926,9431,954,9196,,12018,1372,254,13517,2167,13936,736,3692,86,7315,13353,6633,3441,,,8918,1382,,11532,1049,,11941,6237,10567,7238,,3251,799,8119,14874,2098,2579,11909,4378,697,1016,1004,2829,,6433,6473,336,1082,7603,8661,9404,9106,1009,4244,5697,2816,1177,4547,4509,6987,1572,809,,521,10174,5270,10351,2500,5352,1892,559,11232,5625,5707,5327,2785,11777,,9086,8858
,194,78,7152,,8740,2961,3638,394,,9743,,10313,,11503,8708,2055,10704,10169,5927,9432,974,9197,,12042,1373,255,13518,2168,13937,737,3715,87,7316,13354,6634,4015,,,8939,1383,,11533,1050,,11942,6238,10568,7239,,3252,800,8141,14875,2099, ,11910,4379,698,1037,1005,2851,,6434,6474,337,1083,7604,8662,9928,9107,1010,4245,5698,2817,1178,4548,4510,6988,1573,810,,522,10175,5290,10352,3100,5376,1915,560,11233,5626,5708,5328,2786,11778,,9658,8859
,195,79,7153,,8741,2982,3639,395,,9744,,10314,,11526,9154,2056,10705,10170,5947,9433,975,9198,,12043,1374,256, ,2169,13938,738,3716,88,7317,13376,6654,4016,,,8940,1407,,11534,1051,,11943,6239,10569,7240,,3274,801,8142,15374,2121,,11911,4380,1243,1038,1006,2852,,6435,6497,858,1102,7605,8663,9929,9108,1011,4246,5699,2840,1179,4549,4511,6989,1574,811,,523,10196,5291,10353, ,5377,1916,561,11234,5627,5709,5329,2787,11801,,9659,8860
,196,80,7154,,8761,2983,3662,396,,9745,,10336,,11527,9155,2552,10725, ,5948,9455,976,9199,, ,1394,257,,2170,14461,739,3717,89,7337,13377,6655,4040,,,8941,14483,,11556,1052,,11944,6786,10570,7737,,3275,802,8143,15375,2122,,11931,4381,1244,1039,1028,2853,,6455,6498,859,1103,7626,8664,9930,9109,1032,4247,5720,2841,1180,4550,4534,7010,1596,812,,524,10197,5292,10354,,5378,1917,562,11258,5628,5710,5330,2788,11802,,9681,8861
,197,81,7155,,8762,2984,3663,397,,9746,,10337,,11528,9178,2553,10726,,5949,9456,1526,9200,,,1395,279,,2192,14462,1258,4266,90,7338,13378,6656,4041,,,8942,14508,,11557,1072,,11945,6787,10593,7761,,3276,823,8166,15398,2123,,11932,4382,1245,1040,1029,2854,,6456,6499,860,1104,7627,8686,9953,9110,1033,4267,5721,2842,1181,4572,4535,7011,1597,813,,525,10198,5293,10355,,5379,1940,563,11259,5629,5733,5353,2805,11803,,9682,8862
,214,98,7178,,8763,2985,3664,417,,9747,,10338,,11529,9179,2555,10727,,5950,9457,1527,9219,,,1396,280,,2193,14463,1259,4290,91,7339,13379,6657, ,,,8943,15083,,11558,1073,,11946,6811,10594,7762,,3277,824,8167,15399,2124,,11933,4403,1246,1041,1030,2878,,6457,6500,861,1105,7628,8687,9954,9111,1034,4268,5722,2843,1182,4573,4536,7012,1598,833,,541,10199,5294,10375,,5401,1941,564,11807,5650,5734,5354,2806, ,,9683,8863
,215,99,7179,,8764,2986,3687,418,,9748,,10339,,11551,9180,2556,10728,,5951,10030,1528,9220,,,1397,281,,2194,14484,1260,4291,111,7340,13402,6658,,,,8944,15107,,11559,1074,,11947,6812,10595,7763,,3300,825,8619,15400,2149,,11934,4404,1247,1063,1031,3426,,6458,6522,862,1106,7629,8688,9955,9129,1035,4269,5723,2844,1201,4574,4537,7013,1599,834,,542,10200,5295,10376,,5402,1942,583,11808,5651,6257,5928,2807,,,9684,8864
,216,100,7655,,8765,3007,3688,419,,9768,,10362,,11552,9181,2557,10729,,5952,10031,1529,9221,,,1398,282,,2195,14485,1261,4292,114,7341,13403,6659,,,,8964,15108,,12056,1075,,11948,6813,10618,7764,,3301,826,8642,15423,2671,,11935,4405,1268,1064,1605,3427,,6459,6523,863,1107,7630,9235,9956,9130,1036,4270,5746,2845,1202,4575,4559,7036,1621,835,,543,10220,5794,10377,,5403,1943,584,11832,5652,6258,5953,2808,,,9685,8883
,217,101,7679,,8766,3008,3689,915,,9769,,10863,,11553,9182,2577,10730,,5972,10032,1550,9222,,,1420,305,,2219,14486,1262,4315,115,7342,13404,6678,,,,8965,15109,,12057,1076,,11966,6814,10619,7786,,3302,827,8643,15424,2672,,11956,4406,1269,1065,1606,3428,,6460,6524,883,1108,7650,9236,9957,9131,1058,4271,5747,2846,1203,4576,4560,7037,1622,836,,544,10221,5816,10378,,5404,1965,585,11833,5653,6259,5954,2809,,,9706,8884
,218,102,7680,,8788,3009,3714,916,,9770,,10885,,11554,9203,2578,10731,,5973,10055,1551,9223,,,1421,306,,2220,14487,1263,4316,565,7343,13405,6679,,,,8966,15132,,12081,1097,,11967,6835,11066,7787,,3327,849,8644,15425,2673,,11957,4407,1270,1066,1629,3451,,6461,6525,884,1127,7651,9260,9978,9132,1059,4272,5748,2865,1204,4598,4561,7061,1623,837,,545,10222,5817,10379,,5427,1966,1084,11857,5654,6260,5978,2810,,,9707,8885
,219,103,7701,,8789,3010,4162,917,,9771,,10886,,11577,9204,2580,10750,,5974,10056,1552,9224,,,1944,729,,2718,14488,1264,4317,566,7362,13428,6680,,,,8967,15133,,12082,1098,,11968,6836,11067,7788,,3776,850,8666,15426,2695,,11958,4878,1271,1564,1630,3452,,6462,7020,885,1128,7652,9261,9979,9133,1060,4273,6222,2866,1205,4599,4562,7062,2146,838,,546,10223,5818,10380,,5428,1967,1085,11858,6102,6261,5979,2811,,,9708,8886
,220,104,7702,,8790,3031,4163,918,,9793,,10887,,12152,9205,2581,10751,,5975,10057,1553,9225,,,1945,730,,2719,14489,1283,4341,586,7363,13429,6681,,,,8968,15134,,12083,1099,,11969,6837,11068,7789,,3777,851,8667,15448,2696,,12482,4902,1272,1588,14054,3453,,6482,7021,886,1129,7653,9262,9980,9134,1061,4293,6223,2867,1206,4600,4585,7538,2147,1385,,547,10224,5819,10400,,5429,1968,1086,11859,6126,6282, ,2812,,,9709,8887
,221,124,7703,,8791,3032,4164,919,,9794,,10888,,12153,9206,2582,10752,,5976,10081,1554,9244,,,1946,751,,2742,14509,1284,4342,587,7364,13430,6682,,,,8989,15158,,12084,1100,,11970,6838,11091,7790,,3801,852,8668,15449,2697,,12483,4903,1273,1589,14055,3477,,6483,7022,887,1130,7654,9263,9981,9135,1062,4294,6224,2868,1207,4601,4586,7539,2148,1386,,548,10225,5820,10401,,5453,1989,1087,12432,6127,6283,,2813,,,9710,8888
,222,125,7704,,8815,3033,4187,940,,10269,,10889,,12154,9207,2602,10753,,5977,10082,1575,9245,,,1969,752,,2743,14510,1285,4941,588,7365,13926,6683,,,,8990, ,,12106,1101,,11971,6839,11092,7811,,3802,853,8669,15450,2698,,12484,4904,1274,1590,14078, ,,6484,7023,888,1131,7675,9286,9982,9136,1633,4295,6244,2869,1226,4624,4587,7562,2171,1387,,549,10245,5839,10402,,6003,1990,1088,12433,6151,6284,,2830,,,10283,8908
,239,551,7705,,8816,3034,4188,941,,10270,,10910,,12177,9208,2603,11301,,5997, ,1576,9246,,,1970,753,,2744,14511,1286, ,589,7366,13951,6703,,,,8991,,,12107,1123,,11972,6840,11093,7812,,3825,874,8691,15473,2699,,12507,4927,1293,1591,14079,,,6981,7024,889,1132,7676,9287,10003,9156,1634,4296,6245,2870,1227,4625,5109,7563,2172,1388,,550,10246,5840,10403,,6028,1991,1089,12457,6152,6285,,2831,,,10284,8909
,240,552,7726,,9264,3035,4189,942,,10292,,10911,,12178,9228,2604,11302,,5998,,1600,9247,,,1971,754,,2745,14512,1287,,590,7367,13952,6704,,,,8992,,,12108,1124,,11973,6861,11094,7813,,3826,875,8692,15474,2720,,12508,4928,1294,1612,14080,,,6982,7045,908,1155,7677,9288,10004,9157,1635,4297,6246,2871,1228,4626,5110,7564,2173,1409,,567,10247,5841,10404,,6053,1992,1090,12458,6176,6286,,2832,,,10306,8910
,241,576,7727,,9265,3057,4190,943,,10293,,10912,,12179,9229,2605,11303,,5999,,2151,9248,,,1972,755,,2767,14513,1288,,591,7886,13976,6705,,,,9014,,,12109,1125,,11993,6862,11115,7814,,3827,876,8693,15475,2721,,12509,4929,1295,1613,14103,,,7005,7046,909,1156,7678, ,10005,9158,1636,4298,6247,2890,1229,4651,5134,7586,2174,1410,,568,10248,5842,10405,, ,1993,1109, ,6177,6306,,2833,,,10307,8911
,242,577,7728,,9266,3058,4212,944,,10294,,10913,,12803,9230,2606,11326,,6000,,2152,9249,,,1973,756,,2768,14514,1289,,608,7887,13977,6706,,,,9015,,,12110,1126,,11994,6863,11116,7815,,3849,877,8694,15500,2722,,12532,4930,1296,1614,14104,,,7006,7047,910,1157,8201,,10006,9159,1658,4318,6248,2891,1230,5122,5135,7587,2196,1411,,569,10249,5843,10425,,,2013,1110,,6200,6307,,2834,,,10308,8912
,243,601,7729,,9284,3059,4213,945,,10295,,10914,, ,9231,2627,11327,,6001,,2153,9250,,,1974,776,,2769,14535,1290,,609,7888,13978,6707,,,,9016,,,12130,1149,,11995,6864,11117,7816,,3850,878,8716, ,2723,,12533,4952,1297,1615,14105,,,7007,7048,911,1631,8202,,10029,9160,1659,4319,6249,2892,1231,5147,5136,7588,2197,1412,,570,10250,5844,10426,,,2014,1111,,6201,6308,,2835,,,10309,8913
,244,602,7730,,9285,3060,4214,966,,10296,,10915,,,9232,2628,11328,,6002,,2154,9270,,,1994,777,,2770,14536,1308,,610,7889,14001,6708,,,,9465,,,12131,1150,,11996,7436,11118,7836,,3851,899,8717,,2724,,12534,4953,1298,1616,14106,,,7008,7049,912,1632,8203,,10554,9183,1660,4320,6268,2893,1232,5148,5159,7589,2198,1413,,571,10271,5845,10427,,,2015,1112,,6202,6309,,2836,,,10331,8933
,245,603,7731,,9289,3082,4215,967,,10317,,10935,,,9233,2629,11350,,6022,,2175,9271,,,1995,778,,2771,14537,1309,,611,7890,14002,6728,,,,9490,,,12132,1175,,11997,7437,11119,7837,,3852,900,8718,,2725,,12535,4954,1299,1637,14128,,,7009,7050,913,1654,8204,,10555,9184,1661,4321,6269,2894,1251,5149,5160,7610,2199,1433,,572,10272,5865,10428,,,2016,1113,,6203,6310,,2837,,,10332,8934
