1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
 5335, 13741, 107, 785, 10708, , 10284, 12205, 530, 8813, 904, 12643, 11809, 1749, 441, 12542, 5483, 2916, 189, 9115, 5962, 3365, 5664, 12334, 14147, 7680, 2455, 95, 15570, 9216, 2084, 586, 5561, 8747, 8579, 6064, 5143, 1507, 3194, 8596, 1497, 4690, 9498, 4325, 1195, 14946, 14680, 1945, 13468, 8094, 10066, 15342, 6428, 12731, 6715, 13336, 6866, 11355, 4464, 13209, 639, 3098, 7802, 333, 15105, 13593, 1418, 2504, 12759, 12726, 5733, 6666, 270, 860, 8979, , 10264, 13587, 4295, 4703, 8141, 3419, 278, 400, 2578, 7599, 9124, 475, 75, 5808, 14079, 11055, 10724, 12972, 2706, 182
 5336, 13766, 108, 807, 11230,, 10285, 12206, 531, 8835, 905, 12666, 11832, 1750, 442, 12543, 5484, 2940, 738, 9116, 5963, 3366, 5687, 12335, 14148, 7703, 2928, 96, 15594, 9217, 2085, 587, 5562, 8748, 8580, 6637, 5168, 1508, 3195, 8597, 1498, 4691, 9519, 4346, 1196, 14947, 14681, 2519, 13469, 8095, 10067, 15343, 6429, 12732, 6739, 13337, 6867, 11978, 4487, 13232, 640, 3099, 7803, 334, 15106, 13594, 1439, 2505, 13359, 12749, 5734, 6667, 290, 861, 8999,, 10265, 14132, 4296, 4704, 8142, 3420, 279, 923, 2579, 7600, 9125, 476, 76, 5809, 14080, 11056, 10725, 12973, 2707, 203
 5357, 14289, 109, 808, 11254,, 10308, 12207, 532, 9382, 924, 13166, 11833, 1751, 443, 12544, , 3464, 762, 9688, 5964, 3387, 5688, 12336, 14171, 7704, 2929, 97, 15595, 9218, 2086, 588, 5563, 8749, 8599, 6638, 5169, 1509, 3196, 8598, 1520, 4692, 9520, 4347, 1197, 14948, 14682, 2520, 13470, 8096, 10068, 15344, 6453, 12733, 6740, 13338, 6891, 11979, 4488, 13233, 663, 3100, 8401, 335, , 13595, 1440, 2506, , 12750, 5735, 6668, 291, 862, 9000,, 10266, 14133, 4318, 4726, 8143, 3421, 299, 947, 2580, 7601, 9126, 477, 77, 5829, 14081, 11057, 10748, 12974, 2708, 204
 5358, 14290, 610, 809, 11255,, 10309, 12229, 533, 9383, 925, 13191, 11834, 1773, 444, 12545,, 3465, 763, 9689, 5965, 3388, 5689, 12359, 14172, 7705, 2930, 98, 15619, 9219, 2087, 589, 5584, 8771, 8600, 6639, 5194, 1531, 3197, 9068, 1521, 4713, 9521, 4348, 1219, 14971, 14704, 2521, 13492, 8121, 10088, 15367, 6976, 12754, 6741, 13339, 7465, , 4489, 13234, 664, 3121, 8402, 336,, 13596, 1441, 2523,, 12751, 6259, 6669, 292, 863, 9001,, 10267, 14134, 4319, 4727, 8144, 3422, 300, 948, 2601, 7603, 9148, 497, 78, 5830, 14082, 11058, 10749, 12975, 2709, 205
 5359, 14291, 611, 810, 11256,, 10809, 12230, 534, 9384, 926, 13192, 11858, 1774, 445, 12546,, 3466, 764, 9690, 5966, 3389, 6238, 12360, 14696, 8181, 2931, 99, 15620, 9240, 2088, 590, 5585, 8772, 8601, 6640, 5643, 1532, 3216, 9069, 1522, 4714, 9522, 4349, 1220, 14972, 14705, 2522, 13493, 8641, 10089, 15368, 6977, 12755, 6765, 13360, 7466,, 4490, 13257, 665, 3122, 8403, 337,, 13597, 1442, 2524,, 12752, 6260, 7192, 293, 864, 9002,, 10268, 14135, 4320, 4728, 8145, 3423, 776, 972, 2602, 7624, 9149, 1026, 79, 5831, 14103, 11078, 10750, 12997, 2731, 206
 5360, 14292, 632, 811, 11257,, 10810, 12231, 535, 9385, 927, 13193, 11859, 1775, 446, 12569,, 3467, 765, 9691, 5987, 3390, 6239, 12361, 14697, 8182, 2952, 116, 15621, 9241, 2110, 612, 5586, 8773, 8602, 6662, 5644, 1533, 3217, 9070, 1523, 4715, 9523, 4350, 1221, 15522, 15255, 2543, 13494, 8642, 10090, 15369, 6978, 12756, , 13361, 7490,, 4511, 13258, 666, 3123, 8426, 338,, 13618, 1443, 2525,, 12753, 6283, 7217, 294, 884, 9003,, 10287, 14157, 4345, 4729, 8146, 3424, 801, 973, 2603, 7625, 9150, 1047, 80, 5832, 14104, 11079, 10773, 12998, 2732, 229
 5361, 14293, 633, 812, 11258,, 10832, 12232, 536, 9386, 928, 13216, 11860, 1798, 466, 12570,, 3489, 787, 9692, 5988, 3391, 6261, 12362, 14698, 8205, 2953, 117, , 9242, 2111, 613, 5587, 8774, 8603, 6663, 5645, 1534, 3218, 9071, 1546, 4716, 9543, 4370, 1222, 15523, 15256, 2544, 13495, 8643, 10091, 15392, 6979, 12757,, 13362, 7491,, 4512, 13259, 667, 3124, 8427, 339,, 13619, 1444, 2526,, 12773, 6284, 7218, 295, 885, 9004,, 10288, 14158, 4791, 4730, 8164, 3443, 825, 974, 2604, 7649, 9151, 1048, 100, 5833, 14105, 11080, 10774, 12999, 2733, 230
 5381, 14314, 634, 832, 11259,, 10833, 12254, 556, 9387, 929, 13217, 12434, 1799, 467, 13095,, 3490, 788, 9713, 5989, 3413, 6262, 12384, 14720, 8206, 2954, 118,, 9717, 2112, 614, 5609, 8797, 8604, 6664, 5646, 1535, 3219, 9093, 1547, 4717, 9544, 4371, 1244, 15546, 15257, 2545, 14067, 8644, 10092, 15393, 6999, 12779,, 13363, 7492,, 4513, 13282, 668, , , 340,, 13620, 1464, 2527,, 12774, 6285, 7219, 316, 886, 9025,, 10289, 14159, 4792, 4750, 8165, 3444, 826, 997, 2605, 7650, 9173, 1049, 101, 5834, 14106, 11081, 10775, 13000, 2734, 231
 5382, 14315, 635, 833, 11279,, 10834, 12255, 557, 9388, 930, 13218, , 1800, 468, 13096,, 3491, 789, 9714, 5990, 3414, 6263, 12385, 14721, 8207, 2955, 119,, 9741, 2113, 615, 5610, 8798, 8605, 6665, 5665, 1536, 3220, 9094, 2122, 4738, 9545, 4372, 1245, 15547, 15280, 2546, 14068, 8645, 10093, 15394, 7000, 12780,, 13384, ,, 4514, 13283, 688,,, 341,, 13621, 1465, 2528,, 12775, 6307, 7242, 317, 887, 9026,, 10290, 14160, 4793, 4751, 8166, 3445, 827, 998, 2606, 7675, 9174, 1051, 102, 5855, 14128, 11082, 10799, 13023, 3256, 255
 5383, 14316, 636, 834, 11280,, 10835, 12256, 558, 9407, 949, 13219,, 2399, 469, 13116,, 3492, 813, 9715, 5991, 3415, 6264, 12386, 14722, 8229, 2956, 120,, 9742, 2660, 616, 5611, 9247, 8624, 6687, 5666, 1537, 3221, 9095, 2146, 4739, 9546, 4373, 1246, 15548, 15281, 2547, 14092, 8646, 10113, , 7001, 13304,, 13385,,, 4515, 13808, 689,,, 356,, 13622, 1466, 2529,, 13376, 6308, 7243, 318, 888, 9027,, 10291, 14161, 4794, 4752, 8167, 3446, 849, 999, 2625, 8126, 9175, 1052, 103, 5856, 14129, 11083, 10800, 13523, 3257, 256
