Element,FIP
465,3.24E-05
466,3.17E-05
467,3.86E-05
468,4.03E-05
469,3.75E-05
470,6.20E-05
471,-3.36E-05
472,-3.58E-05
473,-3.90E-05
474,-2.98E-05
475,5.30E-05
476,6.28E-05
477,3.87E-05
478,2.89E-05
479,4.24E-05
480,4.61E-05
481,2.59E-05
482,9.77E-06
483,2.96E-05
484,4.11E-05
485,3.90E-05
486,-3.99E-05
487,-4.50E-05
488,6.64E-05
489,5.70E-05
490,3.35E-05
491,3.49E-05
492,4.15E-05
493,3.42E-05
494,0.004663824
495,1.82E-05
496,0.004574237
497,2.87E-05
498,3.03E-05
499,3.37E-05
500,4.00E-05
501,6.06E-05
502,3.74E-05
503,3.65E-05
504,2.56E-05
505,6.19E-05
506,7.31E-05
507,5.27E-05
508,3.08E-05
509,3.44E-05
510,4.62E-05
511,2.58E-05
512,1.05E-05
513,2.78E-05
514,4.21E-05
515,-3.92E-05
516,-2.82E-05
517,-4.14E-05
518,6.79E-05
519,4.97E-05
520,4.39E-05
521,5.53E-05
522,-3.29E-05
523,2.43E-05
524,1.07E-05
525,-1.07E-05
526,2.62E-05
527,2.71E-05
528,1.21E-05
529,2.66E-05
530,6.26E-05
531,6.73E-05
532,6.31E-05
533,4.01E-05
534,6.47E-05
535,7.19E-05
536,5.99E-05
537,4.34E-05
538,2.48E-05
539,2.94E-05
540,2.99E-05
541,2.95E-05
542,1.59E-05
543,2.38E-05
544,-3.41E-05
545,-4.21E-05
546,-3.13E-05
547,-3.93E-05
548,5.75E-05
549,4.51E-05
550,4.87E-05
551,5.71E-05
552,-0.006288223
553,-2.27E-05
554,1.16E-05
555,-9.49E-06
556,-2.26E-05
557,4.27E-05
558,2.24E-05
559,3.32E-05
560,6.47E-05
561,6.72E-05
562,5.21E-05
563,6.95E-05
564,9.42E-05
565,5.80E-05
566,5.40E-05
567,2.86E-05
568,4.06E-05
569,3.33E-05
570,6.18E-05
571,6.08E-05
572,4.24E-05
573,3.59E-05
574,3.21E-05
575,3.52E-05
576,5.04E-05
577,-4.77E-05
578,4.83E-05
579,6.00E-05
580,3.65E-05
581,4.86E-05
582,-4.29E-05
583,0.00543014
584,-0.003747379
585,0.004392723
586,3.13E-05
587,3.86E-05
588,4.01E-05
589,2.21E-05
590,7.14E-05
591,5.99E-05
592,4.07E-05
593,7.03E-05
594,7.44E-05
595,5.30E-05
596,4.59E-05
597,2.01E-05
598,4.85E-05
599,3.99E-05
600,5.13E-05
601,4.57E-05
602,3.13E-05
603,2.65E-05
604,2.94E-05
605,4.08E-05
606,-5.80E-05
607,-4.48E-05
608,5.53E-05
609,6.48E-05
610,3.17E-05
611,4.51E-05
612,4.87E-05
613,2.40E-05
614,2.33E-05
615,2.80E-05
616,2.14E-05
617,4.39E-05
618,3.86E-05
619,3.03E-05
620,7.48E-05
621,3.34E-05
622,3.25E-05
623,8.07E-05
624,7.06E-05
625,6.18E-05
626,4.34E-05
