94
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
54,0.5700292,0.53072029,0.62264436,-0.43467894,-0.036818616,0.64962494,3.6001272,1.5308018,4.096086,20.15354,11.488107,10.695892,29.926828,32.268291,22.317074,25.027239,2.3296807,1.7581334,1.2284269,38,11,0.45358717,1,0,0,8856,8208,8856
55,0.58701468,0.5600552,-0.20711343,0.29272673,-0.04973245,0.93217051,1.7025555,2.1777377,5.6402898,17.589546,10.325322,9.8511171,70.285713,25.5,108.64286,22.604996,2.9751844,0.54699624,5.8184838,28,6,0.34229204,1,0,0,6048,6048,6048
56,0.91704792,0.83195299,0.42401943,0.13265975,-0.8871606,0.12471953,1.8311884,1.2096425,5.2298546,61.358105,56.268326,51.047058,99.554794,79.19178,65.969177,61.322853,4.8759365,0.92075682,4.2695065,559,29,0.00014566543,1,1,1,126144,120744,126144
57,0.91962928,0.55747604,-0.71715391,-0.081189968,-0.056643881,0.68984777,3.5777669,1.814395,4.972188,18.272606,16.804022,10.18654,90.46154,141.57692,31.26923,27.785583,0.19465843,1.6126117,6.2523808,52,5,0.46306312,1,1,1,11232,11232,11232
58,0.73595715,0.59694189,0.65356815,-0.6748268,-0.1930435,0.28318113,0.36660483,1.0154899,4.5474591,16.373751,12.050379,9.7741776,81.400002,19.4,20.6,22.332619,6.202805,1.3879949,0.96982002,27,4,0.33211321,1,0,0,6480,5832,6480
59,0.9456228,0.63796657,-0.43949357,-0.16797534,-0.36440495,0.80364084,2.6359239,2.1162899,0.14158542,22.502779,21.27914,14.35602,109.83051,135,117.20339,36.20076,0.79078281,0.97971487,0.060643256,115,10,0.54339331,1,1,1,25488,24840,25488
60,0.69294488,0.63283151,0.048687119,-0.080787756,-0.89777344,0.43023911,0.12990743,0.51515126,5.4784918,16.741375,11.60085,10.594469,43.235294,18.352942,33.705883,23.13088,5.2363105,2.2882934,1.4773573,30,7,0.44917905,1,0,0,7344,6480,7344
61,0.23770694,0.20493765,-0.53630912,0.56469846,-0.51876557,0.35266203,1.6698928,0.73602432,3.0626931,96.13974,22.853085,19.702654,69.694084,88.7892,32.290489,54.013985,0.16257228,1.7854649,1.7849269,382,22,0.021365402,1,1,1,84024,82512,84024
62,0.30062813,0.25911757,0.65356815,-0.6748268,-0.1930435,0.28318113,1.5726099,1.9413691,6.2504811,92.522202,27.814777,23.974131,55.430176,49.747993,91.651688,62.647034,2.9385283,2.4419701,4.5413284,596,31,0.038277511,1,1,1,134568,128736,134568
63,0.77927399,0.20769127,-0.5366354,-0.78598624,-0.13427344,0.27607718,3.3983431,0.099031582,0.55791372,64.784569,50.484932,13.455189,37.330189,114.25471,67.528305,43.822296,1.4244165,2.5175178,5.7641244,204,17,0.00094599539,1,1,1,45792,44064,45792
64,0.35194835,0.31217912,-0.31442872,0.69586945,0.36954436,0.52946883,4.8543053,0.4702318,6.1224132,77.455627,27.260382,24.180031,104.40932,113.51814,72.813469,61.24963,4.5274296,1.7377706,0.53705406,557,25,0.068392672,1,1,1,125064,120312,125064
65,0.69217467,0.58550477,0.048687119,-0.080787756,-0.89777344,0.43023911,5.7420707,0.29027137,5.1587725,34.546619,23.912294,20.227209,100.8,95.839996,92.339996,49.387005,2.4786408,1.0892164,3.4608142,292,18,0.68017077,1,0,0,64800,63072,64800
66,0.24861878,0.24092624,-0.3305521,0.034231,0.91472596,0.22986944,3.3782201,1.5949751,4.733964,81.71212,20.315168,19.686594,78.949364,105.74051,39.683544,50.327408,4.8554006,0.67752421,5.061779,309,15,0.030822894,1,1,1,68256,66744,68256
67,0.79843724,0.6397807,-0.028981952,-0.43210512,-0.76259398,0.48051596,0.7330128,1.3068937,3.8288341,14.358586,11.464431,9.186347,8,21.25,79.75,21.472807,2.5123577,0.89580518,5.7878928,24,4,0.36715266,1,1,1,5184,5184,5184
