1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
 5932, 9479, 1829, 6048, 10356, 9546, 5078, 4373, 1055, 474, 5524, 8986, 4636, 5123, 587, 618, 2877, 73, 13923, 14777, 4483, 7377, 12928, 8470, 297, 5397, 4862, 2403, 6938, 515, 9718, 4674, 416, 4917, 8365, 9343, 1086, 8944, 1344, 10607, 6449, 963, 1401, 3766, 10922, 13529, 1470, 802, 2349, 10109, 15292, 1284, 8148, 628, 5761, 6084, 2153, 9691, 9209, 8614, 2894, 757, 4689, 7173, 11662, 7510, 2117, 530, 8877, 1157, 88, 14255, 12592, 1939, 170, 12131, 602, 10821, 5903, 355, 139, 6761, 7007, 7636, 3069, 8590, 5282
 5933, 9480, 1830, 6049, 10357, 10117, 5079, 4374, 1651, 475, 5525, 8987, 4637, 5124, 588, 619, 2878, 74, 13948, 14778, 4484, 7378, 13552, 8993, 298, 5398, 4885, 2404, 6959, 516, 9719, 4697, 417, 4918, 8366, 9365, 1087, 8945, 1345, 11101, 6450, 1482, 1402, 3767, 10943, 13530, 1493, 803, 2350, 10133, 15293, 1285, 8149, 629, 5762, 6085, 2175, 9712, 9210, 8637, 2895, 779, 4711, 7647, 12287, 7511, 2139, 531, 9426, 1158, 89, 14256, 12593, 1940, 171, 12150, 603, 10843, 5904, 356, 157, 6762, 7008, 7637, 3070, 8591, 5307
 5934, 9481, 1831, 6050, 10358, 10118, 5080, 4375, 1652, 494, 6001, 8988, 4638, 5125, 609, 620, 2900, 75, 14471, 14801, 4485, 7379, 14177, 8994, 299, 5422, 4886, 2426, 6960, 517, 9740, 4698, 917, 4919, 8367, 9366, 1661, 8968, 1346, 11102, 6976, 1483, 1403, 3788, 10944, 13531, 1494, 826, 2372, 10134, 15317, 1307, 8150, 630, 5763, 6106, 2176, 9713, 9211, 8638, 2916, 780, 4712, 7672, , 7512, 2140, 553, 9427, 1159, 90, 14277, 12594, 1962, 172, 12151, 622, 10844, 5925, 357, 158, 6782, 7009, 7638, 3071, 8592, 5308
 5955, 9482, 1832, 6068, 10359, 10119, 5081, , 1653, 495, 6026, 9009, 4639, 5148, 610, 621, 2901, 76, 14472, 15376, 4486, 7380, , 9018, 300, , 4887, 2427, 6961, 518, 9741, 4699, 940, 4942, 8387, 9367, 1662, 8969, 1367, 11103, 6977, 1484, 1405, 3789, 10945, 13532, 1495, 827, 2373, 10158, 15318, 1308, 8169, 631, 5764, 6107, 2177, 9714, 9233, 8639, 2917, 781, 4713, 7673,, 7513, 2141, 554, 9451, 13607, 91, 14278, 12615, 1963, 173, 12152, 623, 10845, 5926, 358, 159, 6783, 7031, 7660, 3094, 8615, 
 5956, 9503, 1854, 6069, 10360, 10120, 5626,, 1654, 496, 6051, 9010, 5213, 5149, 611, 643, 2902, 77, 14473, 15377, 4507, 7403,, 9019, 318,, 4888, 2428, 6962, 538, 9742, 4700, 941, 4943, 8388, 9368, 1663, , 1368, 11126, 7000, 1485, 1426, 3790, 10946, 13533, 1991, 828, 2374, 10159, 15319, 1309, 8170, 652, 5765, 6108, 2178, 9715, 9234, 8640, 2918, 804, 4714, 7696,, 8036, 2142, 555, 9452, 13608, 92, 14279, 12616, 1964, 174, 12153, 624, 10846, 5927, 359, 160, 6784, 7032, 7661, 3095, 8616,
 5957, 9504, 1855, 6070, 10381, 10121, 5627,, 1676, 497, 6073, 9011, 5214, 5150, 612, 644, 2903, 98, 14496, 15401, 4508, 7404,, 9020, 319,, 4910, 2429, 6963, 539, 9743, 4701, 942, 4944, 8389, 9391, 1686,, 1369, 11127, 7001, 1486, 1427, 3791, 10947, 13555, 2015, 851, 2375, 10160, 15341, 1757, 8171, 653, 5766, 6109, 2675, 9738, 9235, 9161, 2919, 805, 4715, 7697,, 8037, 2143, 578, 9476, 13632, 93, 14280, 12617, 1965, 175, 12154, 625, 11443, 5928, 360, 161, 6785, 7033, 7662, 3096, 8617,
 5958, 9505, 1856, 6071, 10382, 10142, 5628,, 1677, 498, 6074, 9012, 5236, 5175, 635, 645, 2925, 99, 14497, 15402, 4509, 7405,, 9043, 320,, 4911, 2451, 6964, 540, 9744, 4702, 964, 4968, 8390, 9392, 1687,, 1370, 11128, 7002, 1507, 1428, 3792, 10948, 13556, 2016, 852, 2396, 10184, 15342, 1758, 8172, 654, 5786, 6110, 2699, 9739, 9236, 9162, 2920, 1331, 4736, 7698,, 8038, 2164, 1076, 9477, 13633, 114, 14281, 12618, 1989, 193, 12155, 1149, 11444, 5929, 361, 162, 6786, 7034, 7663, 3097, 8641,
 5959, 9506, 1857, 6072, 10383, 10143, 5629,, 1678, 499, 6075, 9560, 5237, 5648, 1135, 668, 3476, 100, 14498, , 4510, 7428,, 9044, 321,, 4912, 2452, 6984, 541, 9745, 4721, 965, 4969, 8391, 9416, 1688,, 1393, 11129, 7023, 1508, 1429, 3813, 10969, 13557, 2017, 853, 2397, , 15343, 1759, 8173, 655, 5787, 6111, 2700, 10189, 9258, 9163, 2921, 1332, 4737, 7699,, 8039, 2165, 1077, , 13657, 115, 14302, 12619, 1990, 194, 12156, 1150, 11445, 5951, 362, 163, 6787, 7057, 7686, 3122, 8642,
 5979, 9507, 1880, 6571, 10384, 10144, 5630,, 1679, 500, 6076, 9561, 5238, 5649, 1160, 669, 3477, 101, 14499,, 4511, 7429,, 9045, 322,, 4913, 2453, 6985, 542, 9764, 4722, 966, 4994, 8392, 9417, 1711,, 1394, 11130, 7024, 1509, 1430, 3814, 10970, 13558, 2040, 876, 2398,, 15344, 1782, 8174, 656, 5788, 6132, 2701, 10190, 9259, 9186, 2943, 1354, 4738, 7700,, 8040, 2166, 1078,, 13658, 116, 14303, 12620, 2513, 195, 12175, 1151, 11446, 5952, 379, 164, 6807, 7058, 7687, 3571, 9165,
 5980, 9529, 2430, 6572, 10385, 10145, 5631,, 2278, 519, 6097, 9562, 5239, 5650, 1161, 1170, 3478, 102, 14521,, 4533, 7430,, 9046, 323,, 4937, 2476, 6986, 543, 9765, 4723, 967, 5444, 8412, 9891, 1712,, 1395, 11151, 7025, 1510, 1431, 3815, 10971, 13580, 2041, 877, 2399,, 15367, 1783, 8175, 657, 5789, 6133, 2702, 10191, 9260, 9187, 2944, 1355, 4739, 7721,, 8060, 2167, 1079,, 13682, 117, 14304, 12639, 2514, 196, 12650, 1172, 11469, 5953, 380, 165, 6809, 7059, 7688, 3572, 9166,
 5981, 9530, 2431, 6595, 10407, 10146, 5651,, 2303, 520, 6098, 9584, 5263, 5673, 1185, 1194, 3500, 125, 14522,, 4534, 7879,, 9068, 324,, 4938, 2477, 6988, 564, 9766, 4724, 968, 5445, 8413, 9892, 2287,, 1419, 11152, 7026, 1511, 1451, 3816, 10972, 13581, 2042, 878, 2400,, 15368, 1784, 8194, 678, 5790, 6134, 2724, 10213, 9283, 9188, 2945, 1356, 4740, 7722,, 8061, 2168, 1080,, 13683, 140, 14305, 12640, 2515, 197, 12674, 1173, 11470, 5954, 381, 166, 6810, 7060, 7711, 3595, 9167,
 5982, 9531, 2454, 6596, 10408, 10147, 5652,, , 521, 6099, 9585, 5264, 5674, 1186, 1195, 3501, 126, 14523,, 4535, 7880,, 9069, 325,, 5486, 2478, 6989, 565, 9767, 4725, 989, 5446, 8414, 9916, 15411,, 1871, 11153, 7027, 1512, 1452, 3838, 10973, 13582, 2043, 901, 2421,, , 1785, 8195, 679, 5791, 6135, 2725, 10214, 9284, 9212, 2946, 1357, 4741, 7723,, 8062, 2169, 1101,, 13707, 141, 14328, 12641, 2538, 198, 12675, 1174, 12069, 5976, 382, 167, 7306, 7082, 7712, 3596, 9189,
 5983, 10001, 2455, 6597, 10409, 10167, 5653,,, 522, 6100, 9586, , 5675, 1187, 1196, 3502, 127, 14524,, 4558, 7902,, 9070, 344,, 5487, 2501, 7533, 566, 9768, 4748, 990, 5467, 8415, 9917, 15412,, 1893, 11154, 7048, 1513, 1453, 3839, 10996, 13583, 2044, 902, 2422,,, 1808, 8196, 680, 5792, 6136, 2726, 10215, 9285, 9213, 2969, 1379, 4761, 7724,, 8063, 2190, 1102,, 13732, 142, 14329, 12642, 2539, 199, 12676, 1175, 12070, 5977, 383, 179, 7307, 7083, 8236, 3597, 9190,
 5984, 10002, 2456, 6598, 10410, 10168, 5654,,, 523, 6101, 9587,, 5698, 1188, 1216, 3503, 150, 14546,, 4559, 7903,, 9071, 345,, 5510, 2502, 7534, 590, 9769, 4749, 991, 5468, 8416, 9918, 15436,, 1894, 11155, 7049, 1531, 1454, 3840, 10997, 14105, 2066, 903, 2423,,, 1809, 8197, 681, 5813, , 2727, 10216, 9308, 9214, 3467, 1380, 4762, 7725,, 8064, 2191, 1103,, 14208, 615, 14330, 12643, 2540, 200, 12677, 1176, , 5978, 384, 180, 7308, 7084, 8237, 3619, 9191,
 6004, 10003, 2457, 6599, 10932, 10169, 5655,,, 546, 6123, 9588,, 5699, 1210, 1217, 3524, 151, 14547,, 4560, 7904,, 9095, 346,, 5511, 2926, 7535, 1039, 9789, 4750, 992, 5469, 8417, 9940, 15437,, 1895, 11156, 7050, 1532, 1455, 3841, 10998, 14129, 2067, 926, 2424,,, 1810, 8198, 682, 5814,, 2728, 10217, 9809, 9237, 3468, 1381, 4763, 7745,, 8084, 2192, 1104,, 14232, 616, 14355, 12644, 2562, 219, 12699, 1177,, 6404, 385, 181, 7309, 7085, 8260, 3620, 9192,
 6005, 10004, 2479, 6619, 10933, 10170, 5656,,, 1019, 6124, 9609,, 5700, 1211, 1218, 3525, 626, 14548,, 5082, 7905,, 9096, 347,, 5512, 2927, 7536, 1064, 9790, 4774, 993, 5470, 8437, 9941, ,, 1896, 11157, 7051, 1533, 1456, 4339, 11468, 14130, 2068, 927, 2425,,, 1833, 8199, 703, 5815,, 2749, 10238, 9810, 9238, 3469, 1382, 4764, 7746,, 8085, 2193, 1105,, 14233, 636, 14854, 12645, 2563, 220, 12700, 1197,, 6428, 386, 182, 7331, 7107, 8261, 3621, 9215,
 6006, 10005, 2480, 6620, 10956, 10171, 5657,,, 1044, 6125, 9610,, 5701, 1212, 1219, 3526, 646, 14549,, 5083, 7906,, 9617, 348,, 5513, 2928, 7537, 1065, 9791, 4775, 1014, 5471, 8438, 9942,,, 1897, 11176, 7074, 1534, 1478, 4340, 11471, 14131, 2069, 928, 2447,,, 1834, 8200, 704, 5816,, 2750, 10239, 9833, 9239, 3470, 1404, 4765, 7747,, 8086, 2663, 1106,, 14257, 637, 14855, 12665, 2564, 221, 12701, 1198,, 6429, 405, 183, 7332, 7108, 8262, 3622, 9216,
 6007, 10006, 2481, 6621, 10957, 10172, 5676,,, 1045, 6148, 9611,, 5722, 1213, 1220, 3527, 647, 14550,, 5084, 7907,, 9618, 349,, 5536, 2950, 7538, 1066, 9792, 5274, 1015, 5491, 8439, 9943,,, 1898, 11177, 7075, 1535, 1479, 4341, 11472, 14154, 2070, 951, 2448,,, 1835, 8220, 705, 5817,, 2751, 10240, 9834, 9261, 3491, 1406, 4766, 7748,, 8087, 2664, 1126,, 14258, 638, 14877, 12666, 2565, 222, 12702, 1199,, 6430, 406, 184, 7333, 7109, 8263, 3644, 9217,
 6008, 10007, 3055, 6622, 10958, 10717, 5677,,, 1046, 6149, 9612,, 5723, 1235, 1221, 3528, 648, 14571,, 5085, 7927,, 9619, 350,, 5537, 2951, 7558, 1067, 9793, 5298, 1016, 5492, 8440, 9944,,, 1899, 11178, 7601, 1536, 1480, 4342, 11493, 14155, 2071, 952, 2449,,, 1836, 8221, 728, 5839,, 2752, 10241, 9835, 9262, 3492, , 4786, 7749,, 8088, 2688, 1127,, 14259, 639, 14878, 12667, 2587, 223, 12703, 1200,, 6451, 407, 185, 7334, 7110, 8286, 3645, 9240,
 6009, 10026, 3080, 6623, 10959, 10718, 5678,,, 1069, 6150, 9613,, 5724, 1236, 1242, 3549, 649, 14572,, 5107, 7928,, 9642, 370,, 5538, 2952, 7559, 1068, 9794, 5299, 1017, 5493, 8441, 9965,,, 1917, 11179, 7625, 1537, 1481, 4363, 11494, 14156, 2092, 1476, 2450,,, 1858, 8222, 1252, 5840,, 2753, 10242, 9836, 9263, 3493,, 4787, 7750,, 8089, 2689, 1128,, 14282, 640, 14879, 12668, 2588, 224, 12704, 1201,, 6452, 408, 186, 7335, 7608, 8287, 3646, 9241,
 6482, 10027, 3081, 6624, 10981, 10719, 5679,,, 1070, 6174, 9634,, 5725, 1837, 1243, 3550, 650, 14573,, 5108, 7929,, 9643, 371,, 5562, 2953, 7560, 1088, 9816, 5300, 1018, 5494, 8442, 9966,,, 1918, 11180, 7626, 1538, 1503, 4364, 11495, 14157, 2093, 1477, 2947,,, 1859, 8223, 1253, 5841,, 2774, 10260, 9858, 9264, 3494,, 4788, 7770,, 8109, 2690, 1129,, 14283, 641, 14880, 12669, 2589, 225, 12724, 1202,, 6453, 409, 187, 7336, 7631, 8288, 3647, 9242,
 6506, 10028, 3105, 6625, 10982, 10742, 5680,,, 1071, 6651, 9635,, 5726, 11259, 1244, 4076, 651, 14574,, 5109, 7930,, 9644, 372,, 6137, 2954, 7561, 1089, 9817, 5322, 1040, 5495, 8464, 9967,,, 1919, 11181, 7627, 1539, 1504, 4365, 11496, 14179, 2094, 1502, 2948,,, 1860, 8224, 1254, 5842,, 2775, 10261, 9859, 9265, 3495,, 4789, 7771,, 8110, 2713, 1130,, 14284, 642, 14902, 12670, 2590, 719, 12725, 1222,, 6454, 410, 188, 7356, 7632, 8311, 3669, 9267,
