1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
 9604, 42, 8114, 4553, 2704, 3693, 965, 9996, 2207, 4767, 986, 10798, 2634, 8079, 11765, 1605, 4594, 10349, 9885, 164, 5316, 2166, 3119, 7833, 3100, 285, 11413, 3107, 9524, 1278, 8082, 7575, 1004, 5319, 6815, 8533, 2234, , 7800, 5974, 13901, 15580, 232, 4043, 7682, 10183, 2749, 754, 595, 13581, 2069, 7352, 5520, 1406, 3462, 6767, 1830, 13869, 7914, 2127, 7777, 6537, 363, 4361, 6491, 2351, 1701, 11692, 12278, 8446, 8193, 6929, 7792, 10418, 13636, 8849, 6286, 5117, 13177, 374, 5469, 7693, 53, 505, 12557, 5339, 10862, 449, 3814, 8960, 511, 6428, 2696, 15539, 2906, 2691, 223
 9605, 43, 8115, 4575, 2729, 3714, 966, 10492, 2208, 4768, 1008, 10799, 2635, 8080, 11787, 1630, 4595, 10350, 9907, 165, 5340, 2167, 3120, 7834, 3101, 309, 11414, 3108, 9546, 1279, 8083, 7597, 1026, 5320, 6816, 8555, 2259,, 8325, 5975, 13902, 15603, 251, 4044, 7705, 10184, 2769, 755, 596, 13604, 2618, 7377, 5544, 1407, 3463, 6768, 1831, 14418, 7915, 2128, 7778, 6559, 364, 4362, 6492, 2352, 1726, 11713, 12279, 8447, 8194, 6930, 7793, 10419, 13659, 9350, 6287, 5118, 13178, 375, 5470, 7694, 69, 506, 12558, 5360, 10863, 450, 3815, , 1035, 6976, 2697, 15563, 2907, 2692, 224
 9628, 58, 8137, 4576, , 3715, 989, 10493, 2655, 4769, 1009, 10800, 2656, 8081, 11788, 1653, 4596, 10373, 9908, 166, 5341, 2168, 3142, 7835, 3102, 310, 11415, 3109, 9547, 1280, 8108, 7598, 1027, 5321, 6839, 8556, 2260,, 8326, 5997, 13903, 15604, 252, 4067, 7706, 10185, 2770, 778, 597, 13605, 2643, 7378, 5545, 1981, 3485, 6769, 1853, 14419, 7916, 2150, 7779, 6560, 387, 4363, 6512, 2353, 1727, 11714, 12302, 8469, 8195, 6931, 7814, 10420, 13660, 9372, 6758, 5143, 13179, 398, , 7695, 70, 507, 13131, 5361, 10864, 467, 3816,, 1036, 6977, 2698, 15564, 2908, 2713, 241
 9629, 59, 8138, 4577,, 3716, 990, 10517, 2679, 4770, 1010, 10820, 2657, 8104, 11789, 1654, 4597, 10374, 9909, 187, 5365, 2189, 3143, 7857, 3103, 808, 11416, 3131, 9548, 1281, , 7599, 1051, 5322, 6840, 8557, 2261,, 8349, 5998, 14451, , 253, 4068, 7707, 10186, 2771, 779, 598, 13606, 2644, 7977, 5546, , 3486, 6770, 1854, 14420, 7935, 2151, 7801, 6561, 914, 4387, 6513, 2830, 1751, 11715, 12303, 9019, 8196, 6951, 7815, 10421, 13661, 9373, 6759, 5618, 13180, 399,, 7696, 71, 508, 13132, 5362, 10886, 468, 3837,, 1037, 7001, 2719, 15565, 2930, 2714, 242
 9630, 60, 8139, 4578,, 3717, 991, 10518, 2680, 4792, 1011, 10821, 2658, 8105, 11790, 1655, 4598, 10873, 9910, 188, 5366, 2190, 3144, 7858, 3126, 809, 11438, 3132, 9549, 1303,, 7600, 1576, 5344, 6841, 8558, 2284,, 8350, 5999, 14452,, 254, 4069, 8306, 10209, 2772, 780, 599, 13607, 2668, 8003, 5547,, 3487, 6792, 1855, 14442, 7936, 2152, 7802, 6562, 915, 4388, 6514, 2831, 1752, 11716, 12304, 9020, 8216, 6952, 7816, 10422, 13686, 9374, 6782, 5619, 13203, 400,, 7697, 72, 509, 13133, 5363, 10887, 469, 3838,, 1060, 7002, 2720, 15566, 2931, 3237, 243
 10203, 61, 8140, 4600,, 3718, 1012, 10519, 2681, 4793, 1034, 10822, 2659, 8106, 11814, 1677, 4599, 10874, 9911, 189, 5842, 2191, 3145, 7859, 3127, 810, 11439, 3133, 9572, 1304,, 8147, 1601, 5345, 7316, 8579, 2285,, 8351, 6000, 14476,, 255, 4092, 8307, 10210, 2773, 804, 600, 13629, 2669, , 5569,, 3488, 6793, 1856, 14443, 7937, 2153, 7803, 6584, 937, 4912, 6538, 2852, 1776, 11717, 12326, 9021, 8217, 6953, 7817, 10423, 14211, 9375, 6783, 5640, 13204, 424,, 7718, 73, 528, 13156, 5364, 10888, 470, 3839,, 1061, 7003, 2721, 15589, 2932, 3238, 244
 10204, 62, 8141, 4601,, 3739, 1013, 10520, 2682, 4794, 1608, 10823, 2660, 8107, 12413, 1678, 4620, 10875, 9933, 213, 5865, 2192, 3146, 8332, 3128, 811, 11440, 3134, 9573, 1305,, 8148, 1602, 5346, 7340, 8580, 2286,, 8374, 6020, 14477,, 256, 4093, 8331, 10759, 2774, 1353, 619, 13630, 2693,, 5570,, 3511, 6794, 2403, 14444, 7938, 2175, 7804, 6585, 938, 4913, 7013, 2853, 1777, 11739, 12327, 9022, 8218, 6954, 7818, 10424, 14233, 9376, 6784, 5641, 13205, 425,, 7719, 74, 529, 13157, 5385, 10889, 471, 3840,, 1062, 7026, 2722, 15590, 2933, 3239, 245
 10205, 63, 8142, 5127,, 3740, 1014, 10521, 2683, 4818, 1609, 10824, 2661, 8131, 12414, 1679, 4621, 10897, 9934, 759, 5866, 2216, 3167, 8333, 3129, 812, 11441, 3135, 9574, 1306,, 8149, 1603, 5347, 7341, 8581, 2287,, 8375, 6021, 14478,, 257, 4094, , 10760, 2795, 1354, 620, 13631, ,, 5571,, 3512, 6795, 2404, 14445, 7939, 2176, 7826, 7136, 939, 4935, 7014, 2854, 2376, 11740, 12328, 9023, 8219, 6955, 7839, 10425, 14234, 9396, 6785, 5642, 13751, 923,, 7720, 75, 530, 13158, 5386, 10911, 472, 3841,, 1085, 7027, 2723, 15591, 2955, 3240, 246
 10227, 64, 8161, 5128,, 3741, 1015, 10522, 2684, 4819, 1610, 10825, 3230, 8132, 12415, 1680, 4622, 10898, 9935, 760, 5867, 2715, 3168, 8355, 3626, 833, 11464, 3156, 10121, 1329,, 8150, 1604, 5370, 7364, 8582, 2309,, 8399, 6022, 14479,, 276, 4592,, 10761, 2796, 1355, 621, 13655,,, 5572,, 3513, 6817, 2428, 14467, 7940, 2177, 7827, 7160, 940, 4936, 7015, 2855, 2377, 11741, 12351, 9044, 8220, 6956, 7840, 10442, 14235, 9397, 6786, 5643, 13752, 924,, 7721, 76, 531, 13181, 5387, 10912, 473, 4389,, 1086, 7028, 2744, , 2956, 3241, 247
 10228, 65, 8162, 5151,, 3742, 1016, 10541, 2685, 5367, 10960, 10845, 3231, 8133, , 1702, 4623, 10899, 9936, 761, 5889, 2716, 3169, 8356, 3627, 834, 11465, 3157, 10122, 1330,, 8172, 1626, 5371, 7365, 8583, 2310,, 8400, 6023, 14501,, 277, 4593,, 10783, 2797, 1378, 622, 13656,,, 5594,, 3537, 6818, 2429, 14468, 7941, 2178, 7828, 7161, 961, 4937, 7016, 2856, , 12214, 12352, 9045, 8221, 6978, 7841, 10443, 14236, 9398, 6787, 5644, 13753, 925,, 7744, 77, 532, 13182, 5388, 10913, 474, 4412,, 1087, 7051, 2745,, 2957, 3242, 248
