1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
 4225, 823, 4621, 10360, 6922, 561, 8442, 3868, 6006, 9881, 430, 3765, 10292, 1256, 9541, 147, 370, 5913, 6739, 4372, 2169, 11522, 10160, 10477, 8284, 109, 12779, 1519, 13406, 7749, 14801, 5994, 14874, 8938, 6286, 8650, 483, 9399, 11444, 3900, 13689, 1631, 10365, 3320, 570, 461, 13445, 12831, 3238, 303, 9211, 12721, 7417, 13593, 14230, 2734, 914, 12232, 7794, 6636, 789, 6994, 4722, 10127, 2513, 8630, 11175, 11792, 9818, 2630, 11927, 12228, 4337, 1741, 5867, 1761, 11866, 1128, 6085, 75, 568, 14820, 11000, 225, 13867, 10405, 843, 2653
 4226, 824, 4622, 10381, 6923, 562, 8443, 3869, 6476, 9882, 431, 3766, 10293, 1257, 9542, 148, 391, 5914, 6740, 4373, 2170, 11523, 10161, 10478, 8285, 110, 12780, 1520, 13407, 7772, 14802, 5995, 14897, 8939, 6306, 8651, 504, 9400, 11445, 3922, 14239, 1653, 10366, 3321, 571, 462, 13446, 12853, 3239, 321, 9212, 12722, 7418, 13594, 14830, 2755, 915, 12233, 7795, 6637, 790, 6995, 4723, 10128, 2536, 8655, 11196, 11793, 9819, 2631, 11928, 12251, 4338, 1742, 5868, 1785, 11888, 1152, 6105, 76, 569, 14821, 11020, 226, , 10429, 844, 2654
 4227, 825, 4623, 10382, 6924, 563, 8465, 3870, 6477, 9906, 432, 3767, 10294, 1258, 9564, 169, 392, 5915, 6741, 4374, 2189, 11524, 10162, 10479, 8286, 111, 12803, 1541, 13408, 7773, 14803, 6017, 14898, 8963, 6307, 8652, 505, 9401, 11466, 3923, 14264, 1654, 10367, 3344, 572, 463, 13447, 12854, 3260, 322, 9234, 12723, 7419, 13617, 15455, 2756, 936, 12234, 7796, 6638, 1339, 6996, 4724, 10129, 2537, 9203, 11197, 11794, 9820, 2632, 11929, 12252, 4361, 1762, 6468, 1786, 11889, 13576, 6106, 77, 593, 14822, 11021, 227,, 10430, 865, 2677
 4251, 846, 4644, 10383, 6925, 564, 8466, 3891, 6478, 10455, 433, 3768, 10315, 1259, 9565, 170, 393, 5916, 6762, 4375, 2190, 11525, 10163, 10498, 8287, 112, 12804, 1542, 13430, 7774, 14804, 6018, 14899, 8964, 6308, 8653, 506, 9402, 11467, 3924, 14289, 1655, 10368, 3345, 573, 464, 13448, 12855, 3261, 323, 9235, 12746, 7420, 13618, , 2757, 937, 12235, 7797, 6639, 1363, 7019, 4725, 10130, 2538, 9204, 11198, 11795, 9842, 2655, 11930, 12253, 4362, 1763, , 1787, 11890, 13577, 6107, 78, 594, 14845, 11022, 228,, 10431, 1416, 2678
 4252, 847, 4645, 10406, 6926, 565, 8467, 3892, 6479, 10456, 458, 3787, 10316, 1279, 9566, 171, 394, 5937, 6763, 4376, 2191, 11546, 10164, 10499, 8308, 113, 12805, 1543, 13431, 7798, 14825, 6019, 14900, , 6309, 8654, 507, 9403, 11468, 3925, , 1656, 10369, 3346, 1068, 465, 13449, 12856, 3262, 324, 9236, 12747, 7442, 13619,, 2758, 938, 12236, 7819, 6640, 1364, 7020, 4745, 10131, 2561, 9229, 11199, 11816, 9843, 2656, 11931, 12276, 4936, 1764,, 1811, 11891, 13601, 6108, 79, 595, 14846, 11023, 229,, 10454, 1417, 2679
 4277, 848, 4646, 10407, 6927, 566, 8491, 3893, 6480, 10457, 932, 3788, 10317, 1280, 9567, 172, 395, 5938, 6764, 4377, 2194, 11547, 10184, 10500, 8309, 129, , 1566, 13432, 7799, 15401, 6020, 14922,, 6310, 8675, 508, 9423, 11469, 3947,, 1678, 10370, 3369, 1069, 484, 13450, 12878, 3263, 325, 9258, 12748, 7443, 13620,, 2759, 939, 12257, 7820, 6659, 1365, 7021, 4746, 10132, 3136, , 11200, 11817, 9844, 2657, 11952, 12277, 4937, 1765,, 2411, 11912, 13602, 6109, 97, 617, 14847, 11024, 230,, 11028, 1418, 2702
 4701, 849, 4647, 10956, 6928, 567, 8492, 3894, 6481, 10480, 956, 3789, 10318, 1281, 9568, 195, 416, 5939, 6765, 4396, 2195, 11548, 10185, 11026, 8310, 130,, 1567, 14006, 8297, 15402, 6021, 14923,, 6311, 8676, 528, 9424, 11492, 3948,, 1679, 10388, 3370, 1070, 485, 13470, 12879, 3264, 326, 9259, 12771, 7444, 13642,, 2760, 940, 12258, 7821, 6660, 1388, 7044, 4747, 10151, 3137,, 11201, 11818, 9845, 2680, 11953, 12278, 4938, 1766,, , 11913, 13626, 6110, 98, 618, 14871, 11025, 250,, 11029, 1440, 2703
 4726, 871, 4648, 10957, 6948, 586, 8516, 3895, 6501, 10481, 957, 3790, 10319, 1282, 9589, 196, 417, 5940, 6766, 4397, 2215, 11549, 10186, 11027, 8311, 131,, 2093, 14007, 8298, 15403, 6042, 14924,, 6332, 8677, 529, 9425, 11493, 3949,, 1680, 10389, 3371, 1071, 985, 13471, 12880, 3286, 327, 9260, 12772, 7445, 13643,, 2779, 961, 12259, 7822, 6661, 1389, 7045, 4748, 10152, 3161,, 11221, 11819, 9846, 2681, 11954, 12851, 4961, 1767,,, 11914, 14201, 6111, 99, 619, 14872, 11045, 251,, 11030, 1441, 2704
 4727, 872, 4649, 10958, 6949, 587, 9016, 3916, 6502, 10482, 958, 3791, 10340, 1283, 9590, 220, 418, 5964, 6786, 4398, 2216, 11550, 10187, 11050, 8312, 132,, 2116, 14029, 8299, 15426, 6043, 14925,, 6333, 8678, 530, 9426, 11494, 3974,, 1681, 10390, 3921, 1072, 986, 13472, 12881, 3287, 328, 9261, 13347, 7468, 13644,, 2780, 962, 12260, 8343, 6662, 1390, 7069, 4749, 10153, 3162,, 11222, 11820, 9867, 2682, 11955, 12852, 4986, 1788,,, 11915, 14202, 6131, 100, 620, 15418, 11046, 252,, 11055, 1442, 2727
 4728, 873, 4669, 10981, 6950, 588, 9017, 3917, 6503, 10505, 959, 3792, 10341, 1304, 9591, 221, 419, 5965, 6787, 4399, 2217, 11571, 10188, 11051, 8334, 133,, 2117, 14030, 8319, 15427, 6044, 14946,, 6334, 8679, 531, 9427, 12015, 4447,, 1682, 10391, 3945, 1093, 1010, 13473, 12903, 3288, 346, 9282, 13348, 7469, 13645,, 2781, 963, 12261, 8367, 6663, 1391, 7519, 4750, 10154, 3163,, 11223, 11841, 9868, 2683, 11956, 12876, , 1789,,, 11916, 14203, 6132, 101, 640, 15419, 11047, 253,, , 1443, 2728
