1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
920,9984,7946,7176,12307,1164,9465,3205,10283,396,454,2973,3926,254,8050,6457,12265,10398,2761,14492,14030,241,11002,7139,2104,3390,9909,7717,8171,175,4060,7668,5217,74,11521,4625,38,3564,7952,14521,1308,15460,389,2163,10036,9967,605,5028,1510,12361,9337,2649,385,2102,5303,5492,10045,4459,3933,1368,9539,4853,1945,14754, ,10888,7343,6335,9586,1275,4000,3271,4981,1033,624,12222,10629,4148,3586,12747,7882,816,11455,13671,10755,8673,13387,787,4265,8435,156,4166,2203,2658,12160,2508,10970,3767,3071,473
921,9985,7947,7198,12882,1737,9466,3226,10304,397,474,2974,3927,255,8051,6477,12266,10421,2763, ,14031,242,11003,7140,2679,3391,9910,7718,8172,176,4061,7669,5218,75,11522,4644,39,3565,7953,14522,1332,15462,390,2164,10037,9989,1126,5029,1532,12362,9338,2650,386,2105,5304,5513,10571,4460,3934,1369,9540,4854,2444,14778,,10889,7344,6357,9587,1276,4023,3272,5480,1034,625,12223,10630,4149,3587,12748,7883,817,11456,13672,10756,8674,13388,788,4266,9008,157,4167,2204,3156,12182,2531,10971,3768,3072,489
922,9986,7948,7199,12883,1738,9467,3227,10305,869,475,2995,3951,274,8052,6478,12267,10422,2764,,14055,243,11026,7162,2703,3392,9911,7740,8173,200,4062,8144,5241,93,11545,4645,40,3588,7954,14545,1333, ,391,2187,10038,9990,1127,5030,1533,12363,9361,2674,387,2106,5325,5514,10572,4461,3957,1370,9541,4875,2467,14779,,10890,7345,6358,9588,1296,4024,3273,5504,1035,626,12224,10631,4150,3610,12749,7884,841,11457,13694,10776,8675,13411,812,4290,9009,158,4168,2205,3157,12183,2532,10993,3786,3073,490
923,9987,7949,7200,12906,1762,9490,3228,10306,894,476,2996,3952,275,8053,6479,12268,10423,2789,,14056,264,11027,7163,2704,3393,9912,7741,8174,677,4063,8168,5242,94,11546,4646,41,3589,7955,14546,1334,,392,2188,10039,9991,1128,5031,1534,12364,9362,2675,410,2107,5326,5515,10594,4484,3958,1918,9542,4876,2468,14780,,10912,7364,6359,9610,1297,4025,3296,5505,1056,627,12225,10648,4173,3611,12750,7885,1292,11458,13695,10777,8697,13412,813,4291,9033,159,4169,2228,3158,12184,2533,10994,3787,3096,491
924,10007,7950,7221,12907,1763,9491,3229,10307,919,477,2997,3976,276,8054,6480,12290,10446,3285,,14080,265,11028,7164, ,3394,9913,7742,8195,678,4064,8169,5243,95,11547,4647,42,3590,7956,14547,1357,,393,2762,10061,9992,1129,5051,1535,12887,9363,2699,411,2126,5327,5516,10595,4485,3959,1942,9543,4877,2469,14803,,10913,7365,6360,9611,1298,4048,3297,5528,1057,628,12226,10649,4174,3612,12772,7886,1316,11480,13696,10778,8698,13413,837,4316,9034,160,4170,2229,3159,12185,2534,10995,3788,3097,492
925,10008,7971,7222,12908,1764,9492,3230,10328,12770,478,2998,4526,277,8055,6481,12789,10447,3286,,14081,266,11029,7165,,3415,9936,7743,8196,679,4085,8193,5267,96,11548,4648,60,3591,7978,15120,1358,,394,2786,10062,9993,1130,5052,1557,12910, ,2700,436,2127,5328,5517,10596,4486,3983,1943,9564,4878,2470,14804,,10914,7366,6361,9612,1299,4049,3298,5529,1058,629,12227,10650,4175,3613,12773,7887,1340,11481,13697,10779,8699,13436,838, ,9035,161,4191,2230,3181,12208,3131,10996,3789,3593,493
945,10009,7972,7223,12930,1787,10041,3251,10329,12794,479,2999,4551,278,8075,6482,12790,10448,3287,,14606,267,11030,7166,,3416,9937,7766,8197,701,4086,8194,5815,97,11549,4649,61,3614,7979,15121,1359,,412,2787,10063,10015,1151,5053,1558,12911,,3146,910,2128,5329,5539,10597,4510,3984,1944,9565,4899,2471,14805,,10915,7367,6362,9613,1300,4050,3321,5530,1059,630,12247,10651,4700,3635,12774,7888,1341,11482,13720,11327,8722,13437,861,,9658,180,4192,2231,3182,12209,3132,11019,3790,3594,494
946,10010,7973,7224,12931,1788,10065,3252,10330,12795,480,3021,4576,279,8078,6503,12791,10471,3310,,14607,814,11051,7167,,3417,9938,7767,8198,702,4087,8217,5816,98,11571,4650,62,3615,7980,15122,1957,,413,2788,10064,10016,1152,5054,1559,12912,,3147,911,2129,5330,5540,10598,4511,4507,1967,9566,4900,2492,14806,,10916,7368,6383,9614,1301,4074,3322,5531,1060,652,12248,10652,4723,3636, ,7908,1364,12032,13721,11328,8723,13438,862,,9659,181,4193,2255,3183,12731,3133,11020,3791,3618,495
947,10011,7974,7247,12932,1789,10066,3253,10331,12796,499,3022,4601,280,8079,6504,12792,10472,3311,,14631,818,11052,7186,,3418,9962,7768,8199,703,4088,8218,5817,99,11572,4670,63,3639,8479,15144,1958,,414,2812,10638,10017,1153,5076,1560,12913,,3170,912,2130,5350,5541,10619,5033,4508,1968,9567,4901,2493,14807,,10937,7369,6384,9634,1322,4075,3323,5552,1061,653,12249,10653,4724,3637,,7909,1365,12056,13745,11329,8724,13461,863,, ,182,4194,2256,3184,12732, ,11021,3792,3619,496
948,10533,7975,7248,12933,2362,10067,3254,10332,12819,500,3023, ,300,8100,6505,12814,10473,3312,,14632,839,11053,7187,,3419,9963,8315,8221,704,4089,8219,5840,100,11573,4671,64,4138,8480,15145,1959,,415,2813,10639,10018,1154,5601,1582,12934,,3171,913,2131,5351,5564,10620,5034,4509,1969,9568,4902,2494,14828,,10938,7370,6385,9635,1323,4674,3346,5553,1080,654,12250,10654,4725,3638,,7910,1366,12057,14295,11330,8748,13462,1462,,,183,4195,2828,3185,12733,,11044,3812,3643,497
